pc_time_iso,pc_time_unix,sender_ip,sender_port,source_id,now_ms,tx_counter,rx_ok_total,crc_bad_total,seq_lost_total,duplicate_or_old_total,valid_count,deadman_count,move_en_count,last_seq,last_gap_ms,max_gap_ms,avg_gap_ms,loss_permille,loss_percent,valid_ratio_percent,session_id,session_rx_ok,session_lost,session_max_gap_ms,age_ms,last_unity_t_ms,source_seen,fresh_300ms,in_session,last_valid,last_deadman,last_move_en,last_port_id,last_error_code
2026-07-02T00:19:52.908+02:00,1782944392.908741,192.168.0.37,5005,1,5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:19:57.823+02:00,1782944397.823304,192.168.0.37,5005,1,10000,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:02.840+02:00,1782944402.840799,192.168.0.37,5005,1,15000,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:07.858+02:00,1782944407.858553,192.168.0.37,5005,1,20000,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:12.876+02:00,1782944412.876752,192.168.0.37,5005,1,25000,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:22.809+02:00,1782944422.809225,192.168.0.37,5005,1,35000,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:27.826+02:00,1782944427.826638,192.168.0.37,5005,1,40000,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:32.844+02:00,1782944432.844588,192.168.0.37,5005,1,45000,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:37.862+02:00,1782944437.862765,192.168.0.37,5005,1,50000,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:42.879+02:00,1782944442.879609,192.168.0.37,5005,1,55000,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:47.897+02:00,1782944447.897912,192.168.0.37,5005,1,60000,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:52.812+02:00,1782944452.812844,192.168.0.37,5005,1,65000,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:20:57.831+02:00,1782944457.831063,192.168.0.37,5005,1,70000,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:21:02.848+02:00,1782944462.848787,192.168.0.37,5005,1,75000,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:21:07.865+02:00,1782944467.865816,192.168.0.37,5005,1,80000,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:21:17.901+02:00,1782944477.901550,192.168.0.37,5005,1,90000,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:21:32.852+02:00,1782944492.852153,192.168.0.37,5005,1,105000,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
