pc_time_iso,pc_time_unix,sender_ip,sender_port,source_id,seq,t_ms,flags,valid,deadman,move_en,speed_pct,fps_hz,x_m,y_m,z_m,yaw_deg,yaw_deg_unwrapped,yaw_rate_dps,crc_rx,crc_calc,crc_ok
2026-07-02T00:19:10.002+02:00,1782944350.002239,192.168.0.36,43182,3,615,989167,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,EBAA,EBAA,1
2026-07-02T00:19:11.025+02:00,1782944351.025637,192.168.0.36,43182,3,616,990171,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6E39,6E39,1
2026-07-02T00:19:12.050+02:00,1782944352.050044,192.168.0.36,43182,3,617,991172,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,EFDA,EFDA,1
2026-07-02T00:19:13.073+02:00,1782944353.073179,192.168.0.36,43182,3,618,992174,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,FBB9,FBB9,1
2026-07-02T00:19:13.994+02:00,1782944353.994464,192.168.0.36,43182,3,619,993174,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7D02,7D02,1
2026-07-02T00:19:15.125+02:00,1782944355.125694,192.168.0.36,43182,3,620,994207,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39DB,39DB,1
2026-07-02T00:19:16.145+02:00,1782944356.145531,192.168.0.36,43182,3,621,995207,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26CB,26CB,1
2026-07-02T00:19:17.169+02:00,1782944357.169763,192.168.0.36,43182,3,622,996241,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14CA,14CA,1
2026-07-02T00:19:18.193+02:00,1782944358.193572,192.168.0.36,43182,3,623,997259,0,0,0,0,20,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,C218,C218,1
2026-07-02T00:19:19.218+02:00,1782944359.218880,192.168.0.36,43182,3,624,998289,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3CFB,3CFB,1
2026-07-02T00:19:20.241+02:00,1782944360.241886,192.168.0.36,43182,3,625,999300,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,E5E6,E5E6,1
2026-07-02T00:19:21.269+02:00,1782944361.269314,192.168.0.36,43182,3,626,1000329,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4BEB,4BEB,1
2026-07-02T00:19:22.290+02:00,1782944362.290253,192.168.0.36,43182,3,627,1001352,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,230A,230A,1
2026-07-02T00:19:23.314+02:00,1782944363.314032,192.168.0.36,43182,3,628,1002384,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,FA50,FA50,1
2026-07-02T00:19:24.336+02:00,1782944364.336758,192.168.0.36,43182,3,629,1003393,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5674,5674,1
2026-07-02T00:19:25.361+02:00,1782944365.361535,192.168.0.36,43182,3,630,1004426,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66BD,66BD,1
2026-07-02T00:19:26.283+02:00,1782944366.283735,192.168.0.36,43182,3,631,1005430,0,0,0,0,20,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,F0A6,F0A6,1
