signal_index,signal_name,block_path,num_channels,num_samples,csv_path,png_path,conversion_note
1,Selector6:1,ESP32_UDP_UART_Bridge/Selector6,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\001_Selector6_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\001_Selector6_1.png,time_dim_last [1     1  2858]
2,Selector6,ESP32_UDP_UART_Bridge/To Workspace5,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\002_Selector6.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\002_Selector6.png,time_dim_last [1     1  2858]
3,Selector1:1,ESP32_UDP_UART_Bridge/Selector1,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\003_Selector1_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\003_Selector1_1.png,time_dim_last [1     1  2858]
4,Selector5:1,ESP32_UDP_UART_Bridge/Selector5,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\004_Selector5_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\004_Selector5_1.png,time_dim_last [1     1  2858]
5,Selector1,ESP32_UDP_UART_Bridge/To Workspace3,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\005_Selector1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\005_Selector1.png,time_dim_last [1     1  2858]
6,Selector5,ESP32_UDP_UART_Bridge/To Workspace4,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\006_Selector5.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\006_Selector5.png,time_dim_last [1     1  2858]
7,Selector2:1,ESP32_UDP_UART_Bridge/Selector2,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\007_Selector2_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\007_Selector2_1.png,time_dim_last [1     1  2858]
8,Selector3:1,ESP32_UDP_UART_Bridge/Selector3,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\008_Selector3_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\008_Selector3_1.png,time_dim_last [1     1  2858]
9,Selector7:1,ESP32_UDP_UART_Bridge/Selector7,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\009_Selector7_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\009_Selector7_1.png,time_dim_last [1     1  2858]
10,Selector2,ESP32_UDP_UART_Bridge/To Workspace,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\010_Selector2.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\010_Selector2.png,time_dim_last [1     1  2858]
11,Selector3,ESP32_UDP_UART_Bridge/To Workspace1,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\011_Selector3.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\011_Selector3.png,time_dim_last [1     1  2858]
12,Selector7,ESP32_UDP_UART_Bridge/To Workspace7,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\012_Selector7.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\012_Selector7.png,time_dim_last [1     1  2858]
