time_s,Selector6
0,128
0.005,128
0.01,128
0.015,128
0.02,128
0.025,128
0.03,128
0.035,128
0.04,128
0.045,128
0.05,128
0.055,128
0.06,128
0.065,128
0.07,128
0.075,128
0.08,128
0.085,128
0.09,128
0.095,128
0.1,128
0.105,128
0.11,128
0.115,128
0.12,128
0.125,128
0.13,128
0.135,128
0.14,128
0.145,128
0.15,128
0.155,128
0.16,128
0.165,128
0.17,128
0.175,128
0.18,128
0.185,128
0.19,128
0.195,128
0.2,128
0.205,128
0.21,128
0.215,128
0.22,128
0.225,128
0.23,128
0.235,128
0.24,128
0.245,128
0.25,128
0.255,128
0.26,128
0.265,128
0.27,128
0.275,128
0.28,128
0.285,128
0.29,128
0.295,128
0.3,128
0.305,128
0.31,128
0.315,128
0.32,128
0.325,128
0.33,128
0.335,128
0.34,128
0.345,128
0.35,128
0.355,128
0.36,128
0.365,128
0.37,128
0.375,128
0.38,128
0.385,128
0.39,128
0.395,128
0.4,128
0.405,128
0.41,128
0.415,128
0.42,128
0.425,128
0.43,128
0.435,128
0.44,128
0.445,128
0.45,128
0.455,128
0.46,128
0.465,128
0.47,128
0.475,128
0.48,128
0.485,128
0.49,128
0.495,128
0.5,128
0.505,128
0.51,128
0.515,128
0.52,128
0.525,128
0.53,128
0.535,128
0.54,128
0.545,128
0.55,128
0.555,128
0.56,128
0.565,128
0.57,128
0.575,128
0.58,128
0.585,128
0.59,128
0.595,128
0.6,128
0.605,128
0.61,128
0.615,128
0.62,128
0.625,128
0.63,128
0.635,128
0.64,128
0.645,128
0.65,128
0.655,128
0.66,128
0.665,128
0.67,128
0.675,128
0.68,128
0.685,128
0.69,128
0.695,128
0.7,128
0.705,128
0.71,128
0.715,128
0.72,128
0.725,128
0.73,128
0.735,128
0.74,128
0.745,128
0.75,128
0.755,128
0.76,128
0.765,128
0.77,128
0.775,128
0.78,128
0.785,128
0.79,128
0.795,128
0.8,128
0.805,128
0.81,128
0.815,128
0.82,128
0.825,128
0.83,128
0.835,128
0.84,128
0.845,128
0.85,128
0.855,128
0.86,128
0.865,128
0.87,128
0.875,128
0.88,128
0.885,128
0.89,128
0.895,128
0.9,128
0.905,128
0.91,128
0.915,128
0.92,128
0.925,128
0.93,128
0.935,128
0.94,128
0.945,128
0.95,128
0.955,128
0.96,128
0.965,128
0.97,128
0.975,128
0.98,128
0.985,128
0.99,128
0.995,128
1,128
1.005,128
1.01,128
1.015,128
1.02,128
1.025,128
1.03,128
1.035,128
1.04,128
1.045,128
1.05,128
1.055,128
1.06,128
1.065,128
1.07,128
1.075,128
1.08,128
1.085,128
1.09,128
1.095,128
1.1,128
1.105,128
1.11,128
1.115,128
1.12,128
1.125,128
1.13,128
1.135,128
1.14,128
1.145,128
1.15,128
1.155,128
1.16,128
1.165,128
1.17,128
1.175,128
1.18,128
1.185,128
1.19,128
1.195,128
1.2,128
1.205,128
1.21,128
1.215,128
1.22,128
1.225,128
1.23,128
1.235,128
1.24,128
1.245,128
1.25,128
1.255,128
1.26,128
1.265,128
1.27,128
1.275,128
1.28,128
1.285,128
1.29,128
1.295,128
1.3,128
1.305,128
1.31,128
1.315,128
1.32,128
1.325,128
1.33,128
1.335,128
1.34,128
1.345,128
1.35,128
1.355,128
1.36,128
1.365,128
1.37,128
1.375,128
1.38,128
1.385,128
1.39,128
1.395,128
1.4,128
1.405,128
1.41,128
1.415,128
1.42,128
1.425,128
1.43,128
1.435,128
1.44,128
1.445,128
1.45,128
1.455,128
1.46,128
1.465,128
1.47,128
1.475,128
1.48,128
1.485,128
1.49,128
1.495,128
1.5,128
1.505,128
1.51,128
1.515,128
1.52,128
1.525,128
1.53,128
1.535,128
1.54,128
1.545,128
1.55,128
1.555,128
1.56,128
1.565,128
1.57,128
1.575,128
1.58,128
1.585,128
1.59,128
1.595,128
1.6,128
1.605,128
1.61,128
1.615,128
1.62,128
1.625,128
1.63,128
1.635,128
1.64,128
1.645,128
1.65,128
1.655,128
1.66,128
1.665,128
1.67,128
1.675,128
1.68,128
1.685,128
1.69,128
1.695,128
1.7,128
1.705,128
1.71,128
1.715,128
1.72,128
1.725,128
1.73,128
1.735,128
1.74,128
1.745,128
1.75,128
1.755,128
1.76,128
1.765,128
1.77,128
1.775,128
1.78,128
1.785,128
1.79,128
1.795,128
1.8,128
1.805,128
1.81,128
1.815,128
1.82,128
1.825,128
1.83,128
1.835,128
1.84,128
1.845,128
1.85,128
1.855,128
1.86,128
1.865,128
1.87,128
1.875,128
1.88,128
1.885,128
1.89,128
1.895,128
1.9,128
1.905,128
1.91,128
1.915,128
1.92,128
1.925,128
1.93,128
1.935,128
1.94,128
1.945,128
1.95,128
1.955,128
1.96,128
1.965,128
1.97,128
1.975,128
1.98,128
1.985,128
1.99,128
1.995,128
2,128
2.005,128
2.01,128
2.015,128
2.02,128
2.025,128
2.03,128
2.035,128
2.04,128
2.045,128
2.05,128
2.055,128
2.06,128
2.065,128
2.07,128
2.075,128
2.08,128
2.085,128
2.09,128
2.095,128
2.1,128
2.105,128
2.11,128
2.115,128
2.12,128
2.125,128
2.13,128
2.135,128
2.14,128
2.145,128
2.15,128
2.155,128
2.16,128
2.165,128
2.17,128
2.175,128
2.18,128
2.185,128
2.19,128
2.195,128
2.2,128
2.205,128
2.21,128
2.215,128
2.22,128
2.225,128
2.23,128
2.235,128
2.24,128
2.245,128
2.25,128
2.255,128
2.26,128
2.265,128
2.27,128
2.275,128
2.28,128
2.285,128
2.29,128
2.295,128
2.3,128
2.305,128
2.31,128
2.315,128
2.32,128
2.325,128
2.33,128
2.335,128
2.34,128
2.345,128
2.35,128
2.355,128
2.36,128
2.365,128
2.37,128
2.375,128
2.38,128
2.385,128
2.39,128
2.395,128
2.4,128
2.405,128
2.41,128
2.415,128
2.42,128
2.425,128
2.43,128
2.435,128
2.44,128
2.445,128
2.45,128
2.455,128
2.46,128
2.465,128
2.47,128
2.475,128
2.48,128
2.485,128
2.49,128
2.495,128
2.5,128
2.505,128
2.51,128
2.515,128
2.52,128
2.525,128
2.53,128
2.535,128
2.54,128
2.545,128
2.55,128
2.555,128
2.56,128
2.565,128
2.57,128
2.575,128
2.58,128
2.585,128
2.59,128
2.595,128
2.6,128
2.605,128
2.61,128
2.615,128
2.62,128
2.625,128
2.63,128
2.635,128
2.64,128
2.645,128
2.65,128
2.655,128
2.66,128
2.665,128
2.67,128
2.675,128
2.68,128
2.685,128
2.69,128
2.695,128
2.7,128
2.705,128
2.71,128
2.715,128
2.72,128
2.725,128
2.73,128
2.735,128
2.74,128
2.745,128
2.75,128
2.755,128
2.76,128
2.765,128
2.77,128
2.775,128
2.78,128
2.785,128
2.79,128
2.795,128
2.8,128
2.805,128
2.81,128
2.815,128
2.82,128
2.825,128
2.83,128
2.835,128
2.84,128
2.845,128
2.85,128
2.855,128
2.86,128
2.865,128
2.87,128
2.875,128
2.88,128
2.885,128
2.89,128
2.895,128
2.9,128
2.905,128
2.91,128
2.915,128
2.92,128
2.925,128
2.93,128
2.935,128
2.94,128
2.945,128
2.95,128
2.955,128
2.96,128
2.965,128
2.97,128
2.975,128
2.98,128
2.985,128
2.99,128
2.995,128
3,128
3.005,128
3.01,128
3.015,128
3.02,128
3.025,128
3.03,128
3.035,128
3.04,128
3.045,128
3.05,128
3.055,128
3.06,128
3.065,128
3.07,128
3.075,128
3.08,128
3.085,128
3.09,128
3.095,128
3.1,128
3.105,128
3.11,128
3.115,128
3.12,128
3.125,128
3.13,128
3.135,128
3.14,128
3.145,128
3.15,128
3.155,128
3.16,128
3.165,128
3.17,128
3.175,128
3.18,128
3.185,128
3.19,128
3.195,128
3.2,128
3.205,128
3.21,128
3.215,128
3.22,128
3.225,128
3.23,128
3.235,128
3.24,128
3.245,128
3.25,128
3.255,128
3.26,128
3.265,128
3.27,128
3.275,128
3.28,128
3.285,128
3.29,128
3.295,128
3.3,128
3.305,128
3.31,128
3.315,128
3.32,128
3.325,128
3.33,128
3.335,128
3.34,128
3.345,128
3.35,128
3.355,128
3.36,128
3.365,128
3.37,128
3.375,128
3.38,128
3.385,128
3.39,128
3.395,128
3.4,128
3.405,128
3.41,128
3.415,128
3.42,128
3.425,128
3.43,128
3.435,128
3.44,128
3.445,128
3.45,128
3.455,128
3.46,128
3.465,128
3.47,128
3.475,128
3.48,128
3.485,128
3.49,128
3.495,128
3.5,128
3.505,128
3.51,128
3.515,128
3.52,128
3.525,128
3.53,128
3.535,128
3.54,128
3.545,128
3.55,128
3.555,128
3.56,128
3.565,128
3.57,128
3.575,128
3.58,128
3.585,128
3.59,128
3.595,128
3.6,128
3.605,128
3.61,128
3.615,128
3.62,128
3.625,128
3.63,128
3.635,128
3.64,128
3.645,128
3.65,128
3.655,128
3.66,128
3.665,128
3.67,128
3.675,128
3.68,128
3.685,128
3.69,128
3.695,128
3.7,128
3.705,128
3.71,128
3.715,128
3.72,128
3.725,128
3.73,128
3.735,128
3.74,128
3.745,128
3.75,128
3.755,128
3.76,128
3.765,128
3.77,128
3.775,128
3.78,128
3.785,128
3.79,128
3.795,128
3.8,128
3.805,128
3.81,128
3.815,128
3.82,128
3.825,128
3.83,128
3.835,128
3.84,128
3.845,128
3.85,128
3.855,128
3.86,128
3.865,128
3.87,128
3.875,128
3.88,128
3.885,128
3.89,128
3.895,128
3.9,128
3.905,128
3.91,128
3.915,128
3.92,128
3.925,128
3.93,128
3.935,128
3.94,128
3.945,128
3.95,128
3.955,128
3.96,128
3.965,128
3.97,128
3.975,128
3.98,128
3.985,128
3.99,128
3.995,128
4,128
4.005,128
4.01,128
4.015,128
4.02,128
4.025,128
4.03,128
4.035,128
4.04,128
4.045,128
4.05,128
4.055,128
4.06,128
4.065,128
4.07,128
4.075,128
4.08,128
4.085,128
4.09,128
4.095,128
4.1,128
4.105,128
4.11,128
4.115,128
4.12,128
4.125,128
4.13,128
4.135,128
4.14,128
4.145,128
4.15,128
4.155,128
4.16,128
4.165,128
4.17,128
4.175,128
4.18,128
4.185,128
4.19,128
4.195,128
4.2,128
4.205,128
4.21,128
4.215,128
4.22,128
4.225,128
4.23,128
4.235,128
4.24,128
4.245,128
4.25,128
4.255,128
4.26,128
4.265,128
4.27,128
4.275,128
4.28,128
4.285,128
4.29,128
4.295,128
4.3,128
4.305,128
4.31,128
4.315,128
4.32,128
4.325,128
4.33,128
4.335,128
4.34,128
4.345,128
4.35,128
4.355,128
4.36,128
4.365,128
4.37,128
4.375,128
4.38,128
4.385,128
4.39,128
4.395,128
4.4,128
4.405,128
4.41,128
4.415,128
4.42,128
4.425,128
4.43,128
4.435,128
4.44,128
4.445,128
4.45,128
4.455,128
4.46,128
4.465,128
4.47,128
4.475,128
4.48,128
4.485,128
4.49,128
4.495,128
4.5,128
4.505,128
4.51,128
4.515,128
4.52,128
4.525,128
4.53,128
4.535,128
4.54,128
4.545,128
4.55,128
4.555,128
4.56,128
4.565,128
4.57,128
4.575,128
4.58,128
4.585,128
4.59,128
4.595,128
4.6,128
4.605,128
4.61,128
4.615,128
4.62,128
4.625,128
4.63,128
4.635,128
4.64,128
4.645,128
4.65,128
4.655,128
4.66,128
4.665,128
4.67,128
4.675,128
4.68,128
4.685,128
4.69,128
4.695,128
4.7,128
4.705,128
4.71,128
4.715,128
4.72,128
4.725,128
4.73,128
4.735,128
4.74,128
