time_s,Selector5_1
0,1
0.005,1
0.01,1
0.015,1
0.02,1
0.025,1
0.03,1
0.035,1
0.04,1
0.045,1
0.05,1
0.055,1
0.06,1
0.065,1
0.07,1
0.075,1
0.08,1
0.085,1
0.09,1
0.095,1
0.1,1
0.105,1
0.11,1
0.115,1
0.12,1
0.125,1
0.13,1
0.135,1
0.14,1
0.145,1
0.15,1
0.155,1
0.16,1
0.165,1
0.17,1
0.175,1
0.18,1
0.185,1
0.19,1
0.195,1
0.2,1
0.205,1
0.21,1
0.215,1
0.22,1
0.225,1
0.23,1
0.235,1
0.24,1
0.245,1
0.25,1
0.255,1
0.26,1
0.265,1
0.27,1
0.275,1
0.28,1
0.285,1
0.29,1
0.295,1
0.3,1
0.305,1
0.31,1
0.315,1
0.32,1
0.325,1
0.33,1
0.335,1
0.34,1
0.345,1
0.35,1
0.355,1
0.36,1
0.365,1
0.37,1
0.375,1
0.38,1
0.385,1
0.39,1
0.395,1
0.4,1
0.405,1
0.41,1
0.415,1
0.42,1
0.425,1
0.43,1
0.435,1
0.44,1
0.445,1
0.45,1
0.455,1
0.46,1
0.465,1
0.47,1
0.475,1
0.48,1
0.485,1
0.49,1
0.495,1
0.5,1
0.505,1
0.51,1
0.515,1
0.52,1
0.525,1
0.53,1
0.535,1
0.54,1
0.545,1
0.55,1
0.555,1
0.56,1
0.565,1
0.57,1
0.575,1
0.58,1
0.585,1
0.59,1
0.595,1
0.6,1
0.605,1
0.61,1
0.615,1
0.62,1
0.625,1
0.63,1
0.635,1
0.64,1
0.645,1
0.65,1
0.655,1
0.66,1
0.665,1
0.67,1
0.675,1
0.68,1
0.685,1
0.69,1
0.695,1
0.7,1
0.705,1
0.71,1
0.715,1
0.72,1
0.725,1
0.73,1
0.735,1
0.74,1
0.745,1
0.75,1
0.755,1
0.76,1
0.765,1
0.77,1
0.775,1
0.78,1
0.785,1
0.79,1
0.795,1
0.8,1
0.805,1
0.81,1
0.815,1
0.82,1
0.825,1
0.83,1
0.835,1
0.84,1
0.845,1
0.85,1
0.855,1
0.86,1
0.865,1
0.87,1
0.875,1
0.88,1
0.885,1
0.89,1
0.895,1
0.9,1
0.905,1
0.91,1
0.915,1
0.92,1
0.925,1
0.93,1
0.935,1
0.94,1
0.945,1
0.95,1
0.955,1
0.96,1
0.965,1
0.97,1
0.975,1
0.98,1
0.985,1
0.99,1
0.995,1
1,1
1.005,1
1.01,1
1.015,1
1.02,1
1.025,1
1.03,1
1.035,1
1.04,1
1.045,1
1.05,1
1.055,1
1.06,1
1.065,1
1.07,1
1.075,1
1.08,1
1.085,1
1.09,1
1.095,1
1.1,1
1.105,1
1.11,1
1.115,1
1.12,1
1.125,1
1.13,1
1.135,1
1.14,1
1.145,1
1.15,1
1.155,1
1.16,1
1.165,1
1.17,1
1.175,1
1.18,1
1.185,1
1.19,1
1.195,1
1.2,1
1.205,1
1.21,1
1.215,1
1.22,1
1.225,1
1.23,1
1.235,1
1.24,1
1.245,1
1.25,1
1.255,1
1.26,1
1.265,1
1.27,1
1.275,1
1.28,1
1.285,1
1.29,1
1.295,1
1.3,1
1.305,1
1.31,1
1.315,1
1.32,1
1.325,1
1.33,1
1.335,1
1.34,1
1.345,1
1.35,1
1.355,1
1.36,1
1.365,1
1.37,1
1.375,1
1.38,1
1.385,1
1.39,1
1.395,1
1.4,1
1.405,1
1.41,1
1.415,1
1.42,1
1.425,1
1.43,1
1.435,1
1.44,1
1.445,1
1.45,1
1.455,1
1.46,1
1.465,1
1.47,1
1.475,1
1.48,1
1.485,1
1.49,1
1.495,1
1.5,1
1.505,1
1.51,1
1.515,1
1.52,1
1.525,1
1.53,1
1.535,1
1.54,1
1.545,1
1.55,1
1.555,1
1.56,1
1.565,1
1.57,1
1.575,1
1.58,1
1.585,1
1.59,1
1.595,1
1.6,1
1.605,1
1.61,1
1.615,1
1.62,1
1.625,1
1.63,1
1.635,1
1.64,1
1.645,1
1.65,1
1.655,1
1.66,1
1.665,1
1.67,1
1.675,1
1.68,1
1.685,1
1.69,1
1.695,1
1.7,1
1.705,1
1.71,1
1.715,1
1.72,1
1.725,1
1.73,1
1.735,1
1.74,1
1.745,1
1.75,1
1.755,1
1.76,1
1.765,1
1.77,1
1.775,1
1.78,1
1.785,1
1.79,1
1.795,1
1.8,1
1.805,1
1.81,1
1.815,1
1.82,1
1.825,1
1.83,1
1.835,1
1.84,1
1.845,1
1.85,1
1.855,1
1.86,1
1.865,1
1.87,1
1.875,1
1.88,1
1.885,1
1.89,1
1.895,1
1.9,1
1.905,1
1.91,1
1.915,1
1.92,1
1.925,1
1.93,1
1.935,1
1.94,1
1.945,1
1.95,1
1.955,1
1.96,1
1.965,1
1.97,1
1.975,1
1.98,1
1.985,1
1.99,1
1.995,1
2,1
2.005,1
2.01,1
2.015,1
2.02,1
2.025,1
2.03,1
2.035,1
2.04,1
2.045,1
2.05,1
2.055,1
2.06,1
2.065,1
2.07,1
2.075,1
2.08,1
2.085,1
2.09,1
2.095,1
2.1,1
2.105,1
2.11,1
2.115,1
2.12,1
2.125,1
2.13,1
2.135,1
2.14,1
2.145,1
2.15,1
2.155,1
2.16,1
2.165,1
2.17,1
2.175,1
2.18,1
2.185,1
2.19,1
2.195,1
2.2,1
2.205,1
2.21,1
2.215,1
2.22,1
2.225,1
2.23,1
2.235,1
2.24,1
2.245,1
2.25,1
2.255,1
2.26,1
2.265,1
2.27,1
2.275,1
2.28,1
2.285,1
2.29,1
2.295,1
2.3,1
2.305,1
2.31,1
2.315,1
2.32,1
2.325,1
2.33,1
2.335,1
2.34,1
2.345,1
2.35,1
2.355,1
