time_s,Mux_Safety_Status_1_ch1,Mux_Safety_Status_1_ch2,Mux_Safety_Status_1_ch3,Mux_Safety_Status_1_ch4,Mux_Safety_Status_1_ch5,Mux_Safety_Status_1_ch6,Mux_Safety_Status_1_ch7,Mux_Safety_Status_1_ch8
0,0,2,4,6,8,10,13,14
0.005,0,2,4,6,8,10,13,14
0.01,0,2,4,6,8,10,13,14
0.015,0,2,4,6,8,10,13,14
0.02,0,2,4,6,8,10,13,14
0.025,0,2,4,6,8,10,13,14
0.03,0,2,4,6,8,10,13,14
0.035,0,2,4,6,8,10,13,14
0.04,0,2,4,6,8,10,13,14
0.045,0,2,4,6,8,10,13,14
0.05,0,2,4,6,8,10,13,14
0.055,0,2,4,6,8,10,13,14
0.06,0,2,4,6,8,10,13,14
0.065,0,2,4,6,8,10,13,14
0.07,0,2,4,6,8,10,13,14
0.075,0,2,4,6,8,10,13,14
0.08,0,2,4,6,8,10,13,14
0.085,0,2,4,6,8,10,13,14
0.09,0,2,4,6,8,10,13,14
0.095,0,2,4,6,8,10,13,14
0.1,0,2,4,6,8,10,13,14
0.105,0,2,4,6,8,10,13,14
0.11,0,2,4,6,8,10,13,14
0.115,0,2,4,6,8,10,13,14
0.12,0,2,4,6,8,10,13,14
0.125,0,2,4,6,8,10,13,14
0.13,0,2,4,6,8,10,13,14
0.135,0,2,4,6,8,10,13,14
0.14,0,2,4,6,8,10,13,14
0.145,0,2,4,6,8,10,13,14
0.15,0,2,4,6,8,10,13,14
0.155,0,2,4,6,8,10,13,14
0.16,0,2,4,6,8,10,13,14
0.165,0,2,4,6,8,10,13,14
0.17,0,2,4,6,8,10,13,14
0.175,0,2,4,6,8,10,13,14
0.18,0,2,4,6,8,10,13,14
0.185,0,2,4,6,8,10,13,14
0.19,0,2,4,6,8,10,13,14
0.195,0,2,4,6,8,10,13,14
0.2,0,2,4,6,8,10,13,14
0.205,0,2,4,6,8,10,13,14
0.21,0,2,4,6,8,10,13,14
0.215,0,2,4,6,8,10,13,14
0.22,0,2,4,6,8,10,13,14
0.225,0,2,4,6,8,10,13,14
0.23,0,2,4,6,8,10,13,14
0.235,0,2,4,6,8,10,13,14
0.24,0,2,4,6,8,10,13,14
0.245,0,2,4,6,8,10,13,14
0.25,0,2,4,6,8,10,13,14
0.255,0,2,4,6,8,10,13,14
0.26,0,2,4,6,8,10,13,14
