time_s,Mux_Fusion_Status_1_ch1,Mux_Fusion_Status_1_ch2,Mux_Fusion_Status_1_ch3,Mux_Fusion_Status_1_ch4,Mux_Fusion_Status_1_ch5,Mux_Fusion_Status_1_ch6
0,0,3,4,8,12,16
0.005,0,3,4,8,12,16
0.01,0,3,4,8,12,16
0.015,0,3,4,8,12,16
0.02,0,3,4,8,12,16
0.025,0,3,4,8,12,16
0.03,0,3,4,8,12,16
0.035,0,3,4,8,12,16
0.04,0,3,4,8,12,16
0.045,0,3,4,8,12,16
0.05,0,3,4,8,12,16
0.055,0,3,4,8,12,16
0.06,0,3,4,8,12,16
0.065,0,3,4,8,12,16
0.07,0,3,4,8,12,16
0.075,0,3,4,8,12,16
0.08,0,3,4,8,12,16
0.085,0,3,4,8,12,16
0.09,0,3,4,8,12,16
0.095,0,3,4,8,12,16
0.1,0,3,4,8,12,16
0.105,0,3,4,8,12,16
0.11,0,3,4,8,12,16
0.115,0,3,4,8,12,16
0.12,0,3,4,8,12,16
0.125,0,3,4,8,12,16
0.13,0,3,4,8,12,16
0.135,0,3,4,8,12,16
0.14,0,3,4,8,12,16
0.145,0,3,4,8,12,16
0.15,0,3,4,8,12,16
0.155,0,3,4,8,12,16
0.16,0,3,4,8,12,16
0.165,0,3,4,8,12,16
0.17,0,3,4,8,12,16
0.175,0,3,4,8,12,16
0.18,0,3,4,8,12,16
0.185,0,3,4,8,12,16
0.19,0,3,4,8,12,16
0.195,0,3,4,8,12,16
0.2,0,3,4,8,12,16
0.205,0,3,4,8,12,16
0.21,0,3,4,8,12,16
0.215,0,3,4,8,12,16
0.22,0,3,4,8,12,16
0.225,0,3,4,8,12,16
0.23,0,3,4,8,12,16
0.235,0,3,4,8,12,16
0.24,0,3,4,8,12,16
0.245,0,3,4,8,12,16
0.25,0,3,4,8,12,16
0.255,0,3,4,8,12,16
0.26,0,3,4,8,12,16
0.265,0,3,4,8,12,16
0.27,0,3,4,8,12,16
0.275,0,3,4,8,12,16
0.28,0,3,4,8,12,16
0.285,0,3,4,8,12,16
0.29,0,3,4,8,12,16
0.295,0,3,4,8,12,16
0.3,0,3,4,8,12,16
0.305,0,3,4,8,12,16
0.31,0,3,4,8,12,16
0.315,0,3,4,8,12,16
0.32,0,3,4,8,12,16
0.325,0,3,4,8,12,16
0.33,0,3,4,8,12,16
0.335,0,3,4,8,12,16
0.34,0,3,4,8,12,16
0.345,0,3,4,8,12,16
0.35,0,3,4,8,12,16
0.355,0,3,4,8,12,16
0.36,0,3,4,8,12,16
0.365,0,3,4,8,12,16
0.37,0,3,4,8,12,16
0.375,0,3,4,8,12,16
0.38,0,3,4,8,12,16
0.385,0,3,4,8,12,16
0.39,0,3,4,8,12,16
0.395,0,3,4,8,12,16
0.4,0,3,4,8,12,16
0.405,0,3,4,8,12,16
0.41,0,3,4,8,12,16
0.415,0,3,4,8,12,16
0.42,0,3,4,8,12,16
0.425,0,3,4,8,12,16
0.43,0,3,4,8,12,16
0.435,0,3,4,8,12,16
0.44,0,3,4,8,12,16
0.445,0,3,4,8,12,16
0.45,0,3,4,8,12,16
0.455,0,3,4,8,12,16
0.46,0,3,4,8,12,16
0.465,0,3,4,8,12,16
0.47,0,3,4,8,12,16
0.475,0,3,4,8,12,16
0.48,0,3,4,8,12,16
0.485,0,3,4,8,12,16
0.49,0,3,4,8,12,16
0.495,0,3,4,8,12,16
0.5,0,3,4,8,12,16
