time_s,Mux_Source_Status_1_ch1,Mux_Source_Status_1_ch2,Mux_Source_Status_1_ch3,Mux_Source_Status_1_ch4,Mux_Source_Status_1_ch5,Mux_Source_Status_1_ch6
0,0,2,4,6,8,10
0.005,0,2,4,6,8,10
0.01,0,2,4,6,8,10
0.015,0,2,4,6,8,10
0.02,0,2,4,6,8,10
0.025,0,2,4,6,8,10
0.03,0,2,4,6,8,10
0.035,0,2,4,6,8,10
0.04,0,2,4,6,8,10
0.045,0,2,4,6,8,10
0.05,0,2,4,6,8,10
0.055,0,2,4,6,8,10
0.06,0,2,4,6,8,10
0.065,0,2,4,6,8,10
0.07,0,2,4,6,8,10
0.075,0,2,4,6,8,10
0.08,0,2,4,6,8,10
0.085,0,2,4,6,8,10
0.09,0,2,4,6,8,10
0.095,0,2,4,6,8,10
0.1,0,2,4,6,8,10
0.105,0,2,4,6,8,10
0.11,0,2,4,6,8,10
0.115,0,2,4,6,8,10
0.12,0,2,4,6,8,10
0.125,0,2,4,6,8,10
0.13,0,2,4,6,8,10
0.135,0,2,4,6,8,10
0.14,0,2,4,6,8,10
0.145,0,2,4,6,8,10
0.15,0,2,4,6,8,10
0.155,0,2,4,6,8,10
0.16,0,2,4,6,8,10
0.165,0,2,4,6,8,10
0.17,0,2,4,6,8,10
0.175,0,2,4,6,8,10
0.18,0,2,4,6,8,10
0.185,0,2,4,6,8,10
0.19,0,2,4,6,8,10
0.195,0,2,4,6,8,10
0.2,0,2,4,6,8,10
0.205,0,2,4,6,8,10
0.21,0,2,4,6,8,10
0.215,0,2,4,6,8,10
0.22,0,2,4,6,8,10
0.225,0,2,4,6,8,10
0.23,0,2,4,6,8,10
0.235,0,2,4,6,8,10
0.24,0,2,4,6,8,10
0.245,0,2,4,6,8,10
0.25,0,2,4,6,8,10
0.255,0,2,4,6,8,10
0.26,0,2,4,6,8,10
0.265,0,2,4,6,8,10
0.27,0,2,4,6,8,10
0.275,0,2,4,6,8,10
0.28,0,2,4,6,8,10
0.285,0,2,4,6,8,10
0.29,0,2,4,6,8,10
0.295,0,2,4,6,8,10
0.3,0,2,4,6,8,10
0.305,0,2,4,6,8,10
0.31,0,2,4,6,8,10
0.315,0,2,4,6,8,10
0.32,0,2,4,6,8,10
0.325,0,2,4,6,8,10
0.33,0,2,4,6,8,10
0.335,0,2,4,6,8,10
0.34,0,2,4,6,8,10
0.345,0,2,4,6,8,10
0.35,0,2,4,6,8,10
0.355,0,2,4,6,8,10
0.36,0,2,4,6,8,10
0.365,0,2,4,6,8,10
0.37,0,2,4,6,8,10
0.375,0,2,4,6,8,10
0.38,0,2,4,6,8,10
0.385,0,2,4,6,8,10
0.39,0,2,4,6,8,10
0.395,0,2,4,6,8,10
0.4,0,2,4,6,8,10
0.405,0,2,4,6,8,10
0.41,0,2,4,6,8,10
0.415,0,2,4,6,8,10
0.42,0,2,4,6,8,10
0.425,0,2,4,6,8,10
0.43,0,2,4,6,8,10
0.435,0,2,4,6,8,10
0.44,0,2,4,6,8,10
0.445,0,2,4,6,8,10
0.45,0,2,4,6,8,10
0.455,0,2,4,6,8,10
0.46,0,2,4,6,8,10
0.465,0,2,4,6,8,10
0.47,0,2,4,6,8,10
0.475,0,2,4,6,8,10
0.48,0,2,4,6,8,10
0.485,0,2,4,6,8,10
0.49,0,2,4,6,8,10
0.495,0,2,4,6,8,10
0.5,0,2,4,6,8,10
0.505,0,2,4,6,8,10
0.51,0,2,4,6,8,10
0.515,0,2,4,6,8,10
0.52,0,2,4,6,8,10
0.525,0,2,4,6,8,10
0.53,0,2,4,6,8,10
0.535,0,2,4,6,8,10
0.54,0,2,4,6,8,10
0.545,0,2,4,6,8,10
0.55,0,2,4,6,8,10
0.555,0,2,4,6,8,10
0.56,0,2,4,6,8,10
0.565,0,2,4,6,8,10
0.57,0,2,4,6,8,10
0.575,0,2,4,6,8,10
0.58,0,2,4,6,8,10
0.585,0,2,4,6,8,10
0.59,0,2,4,6,8,10
0.595,0,2,4,6,8,10
0.6,0,2,4,6,8,10
0.605,0,2,4,6,8,10
0.61,0,2,4,6,8,10
0.615,0,2,4,6,8,10
0.62,0,2,4,6,8,10
0.625,0,2,4,6,8,10
0.63,0,2,4,6,8,10
0.635,0,2,4,6,8,10
0.64,0,2,4,6,8,10
0.645,0,2,4,6,8,10
0.65,0,2,4,6,8,10
0.655,0,2,4,6,8,10
0.66,0,2,4,6,8,10
0.665,0,2,4,6,8,10
0.67,0,2,4,6,8,10
0.675,0,2,4,6,8,10
0.68,0,2,4,6,8,10
0.685,0,2,4,6,8,10
0.69,0,2,4,6,8,10
0.695,0,2,4,6,8,10
0.7,0,2,4,6,8,10
0.705,0,2,4,6,8,10
0.71,0,2,4,6,8,10
0.715,0,2,4,6,8,10
0.72,0,2,4,6,8,10
0.725,0,2,4,6,8,10
0.73,0,2,4,6,8,10
0.735,0,2,4,6,8,10
0.74,0,2,4,6,8,10
0.745,0,2,4,6,8,10
0.75,0,2,4,6,8,10
0.755,0,2,4,6,8,10
0.76,0,2,4,6,8,10
0.765,0,2,4,6,8,10
0.77,0,2,4,6,8,10
0.775,0,2,4,6,8,10
0.78,0,2,4,6,8,10
0.785,0,2,4,6,8,10
0.79,0,2,4,6,8,10
0.795,0,2,4,6,8,10
0.8,0,2,4,6,8,10
0.805,0,2,4,6,8,10
0.81,0,2,4,6,8,10
0.815,0,2,4,6,8,10
0.82,0,2,4,6,8,10
0.825,0,2,4,6,8,10
0.83,0,2,4,6,8,10
0.835,0,2,4,6,8,10
0.84,0,2,4,6,8,10
0.845,0,2,4,6,8,10
0.85,0,2,4,6,8,10
0.855,0,2,4,6,8,10
0.86,0,2,4,6,8,10
0.865,0,2,4,6,8,10
0.87,0,2,4,6,8,10
0.875,0,2,4,6,8,10
0.88,0,2,4,6,8,10
0.885,0,2,4,6,8,10
0.89,0,2,4,6,8,10
0.895,0,2,4,6,8,10
0.9,0,2,4,6,8,10
0.905,0,2,4,6,8,10
0.91,0,2,4,6,8,10
0.915,0,2,4,6,8,10
0.92,0,2,4,6,8,10
0.925,0,2,4,6,8,10
0.93,0,2,4,6,8,10
0.935,0,2,4,6,8,10
0.94,0,2,4,6,8,10
0.945,0,2,4,6,8,10
0.95,0,2,4,6,8,10
0.955,0,2,4,6,8,10
0.96,0,2,4,6,8,10
0.965,0,2,4,6,8,10
0.97,0,2,4,6,8,10
0.975,0,2,4,6,8,10
0.98,0,2,4,6,8,10
0.985,0,2,4,6,8,10
