time_s,MATLABSystem_5
0,7
0.005,7
0.01,7
0.015,7
0.02,7
0.025,7
0.03,7
0.035,7
0.04,7
0.045,7
0.05,7
0.055,7
0.06,7
0.065,7
0.07,7
0.075,7
0.08,7
0.085,7
0.09,7
0.095,7
0.1,7
0.105,7
0.11,7
0.115,7
0.12,7
0.125,7
0.13,7
0.135,7
0.14,7
0.145,7
0.15,7
0.155,7
0.16,7
0.165,7
0.17,7
0.175,7
0.18,7
0.185,7
0.19,7
0.195,7
0.2,7
0.205,7
0.21,7
0.215,7
0.22,7
0.225,7
0.23,7
0.235,7
0.24,7
0.245,7
0.25,7
0.255,7
0.26,7
0.265,7
0.27,7
0.275,7
0.28,7
0.285,7
0.29,7
0.295,7
0.3,7
0.305,7
0.31,7
0.315,7
0.32,7
0.325,7
0.33,7
0.335,7
0.34,7
0.345,7
0.35,7
0.355,7
0.36,7
0.365,7
0.37,7
0.375,7
0.38,7
0.385,7
0.39,7
0.395,7
0.4,7
0.405,7
0.41,7
0.415,7
0.42,7
0.425,7
0.43,7
0.435,7
0.44,7
0.445,7
0.45,7
0.455,7
0.46,7
0.465,7
0.47,7
0.475,7
0.48,7
0.485,7
0.49,7
0.495,7
0.5,7
0.505,7
0.51,7
0.515,7
0.52,7
0.525,7
0.53,7
0.535,7
0.54,7
0.545,7
0.55,7
0.555,7
0.56,7
0.565,7
0.57,7
0.575,7
0.58,7
0.585,7
0.59,7
0.595,7
0.6,7
0.605,7
0.61,7
0.615,7
0.62,7
0.625,7
0.63,7
0.635,7
0.64,7
0.645,7
0.65,7
0.655,7
0.66,7
0.665,7
0.67,7
0.675,7
0.68,7
0.685,7
0.69,7
0.695,7
0.7,7
0.705,7
0.71,7
0.715,7
0.72,7
0.725,7
0.73,7
0.735,7
0.74,7
0.745,7
0.75,7
0.755,7
0.76,7
0.765,7
0.77,7
0.775,7
0.78,7
0.785,7
0.79,7
0.795,7
0.8,7
0.805,7
0.81,7
0.815,7
0.82,7
0.825,7
0.83,7
0.835,7
0.84,7
0.845,7
0.85,7
0.855,7
0.86,7
0.865,7
0.87,7
0.875,7
0.88,7
0.885,7
0.89,7
0.895,7
0.9,7
0.905,7
0.91,7
0.915,7
0.92,7
0.925,7
0.93,7
0.935,7
0.94,7
0.945,7
0.95,7
0.955,7
0.96,7
