signal_index,signal_name,block_path
1,Selector6:1,ESP32_UDP_UART_Bridge/Selector6
2,Selector6,ESP32_UDP_UART_Bridge/To Workspace5
3,Selector1:1,ESP32_UDP_UART_Bridge/Selector1
4,Selector5:1,ESP32_UDP_UART_Bridge/Selector5
5,Selector1,ESP32_UDP_UART_Bridge/To Workspace3
6,Selector5,ESP32_UDP_UART_Bridge/To Workspace4
7,Selector2:1,ESP32_UDP_UART_Bridge/Selector2
8,Selector3:1,ESP32_UDP_UART_Bridge/Selector3
9,Selector7:1,ESP32_UDP_UART_Bridge/Selector7
10,Selector2,ESP32_UDP_UART_Bridge/To Workspace
11,Selector3,ESP32_UDP_UART_Bridge/To Workspace1
12,Selector7,ESP32_UDP_UART_Bridge/To Workspace7
13,Mux_Safety_Status:1,ESP32_UDP_UART_Bridge/Subsystem/Mux_Safety_Status
14,Mux_Fusion_Status:1,ESP32_UDP_UART_Bridge/Subsystem/Mux_Fusion_Status
15,Mux_Source_Status:1,ESP32_UDP_UART_Bridge/Subsystem/Mux_Source_Status
16,Mux1:1,ESP32_UDP_UART_Bridge/Subsystem/Mux1
17,Mux1(1),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
18,Mux2:1,ESP32_UDP_UART_Bridge/Subsystem/Mux2
19,Mux_Trajectory_X:1,ESP32_UDP_UART_Bridge/Subsystem/Mux_Trajectory_X
20,Mux_Trajectory_X(1),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
21,Mux:1,ESP32_UDP_UART_Bridge/Mux
22,Selector4:1,ESP32_UDP_UART_Bridge/Selector4
23,Selector4,ESP32_UDP_UART_Bridge/To Workspace2
24,Mux3:1(1),ESP32_UDP_UART_Bridge/Subsystem/Mux3
25,MATLAB Function5:1,ESP32_UDP_UART_Bridge/MATLAB Function5
26,MATLAB Function5:2,ESP32_UDP_UART_Bridge/MATLAB Function5
27,MATLAB Function5:3,ESP32_UDP_UART_Bridge/MATLAB Function5
28,MATLAB Function5:4,ESP32_UDP_UART_Bridge/MATLAB Function5
29,MATLAB Function5:5,ESP32_UDP_UART_Bridge/MATLAB Function5
30,MATLAB Function5:6,ESP32_UDP_UART_Bridge/MATLAB Function5
31,MATLAB Function5:7,ESP32_UDP_UART_Bridge/MATLAB Function5
32,safe_X,ESP32_UDP_UART_Bridge/Subsystem/SEL_safe_x
33,fused_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_fused_x
34,pred2_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred2_x
35,pred1_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred1_x
36,src2_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_src2_x
37,src1_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_src1_x
38,safe_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_safe_yaw_u
39,fused_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_fused_yaw_u
40,pred2_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred2_yaw_u
41,pred1_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred1_yaw_u
42,src2_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_src2_yaw_u
43,src1_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_src1_yaw_u
44,safe_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_safe_y
45,fused_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_fused_y
46,pred2_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred2_y
47,pred1_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred1_y
48,src2_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_src2_y
49,src1_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_src1_y
50,Selector8:1,ESP32_UDP_UART_Bridge/Selector8
51,Selector8,ESP32_UDP_UART_Bridge/To Workspace8
52,MATLAB System:5,ESP32_UDP_UART_Bridge/MATLAB System
53,MATLAB System:6,ESP32_UDP_UART_Bridge/MATLAB System
54,MATLAB System:7,ESP32_UDP_UART_Bridge/MATLAB System
55,Mux3:1(2),ESP32_UDP_UART_Bridge/Subsystem/Mux3
56,Mux1(2),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
57,Mux1(3),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
58,Mux1(4),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
59,Mux1(5),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
60,Mux1(6),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
61,Mux_Trajectory_X(2),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
62,Mux_Trajectory_X(3),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
63,Mux_Trajectory_X(4),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
64,Mux_Trajectory_X(5),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
65,Mux_Trajectory_X(6),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories
