scope_folder,panel,signal_label,source_signal,source_channel,num_samples,csv_path,conversion_note
Moving_Square_Scope_X_data_rep1,X signals,src1_x,src1_x,1,1506,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Square\Moving_Square_rep1_2026-08-13_23-26-26\Moving_Square_Scope_X_data_rep1\csv\01_src1_x.csv,time_dim_last [1     1  1506]
Moving_Square_Scope_X_data_rep1,X signals,src2_x,src2_x,1,1506,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Square\Moving_Square_rep1_2026-08-13_23-26-26\Moving_Square_Scope_X_data_rep1\csv\09_src2_x.csv,time_dim_last [1     1  1506]
Moving_Square_Scope_X_data_rep1,X signals,pred1_x,pred1_x,1,1506,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Square\Moving_Square_rep1_2026-08-13_23-26-26\Moving_Square_Scope_X_data_rep1\csv\17_pred1_x.csv,time_dim_last [1     1  1506]
Moving_Square_Scope_X_data_rep1,X signals,pred2_x,pred2_x,1,1506,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Square\Moving_Square_rep1_2026-08-13_23-26-26\Moving_Square_Scope_X_data_rep1\csv\25_pred2_x.csv,time_dim_last [1     1  1506]
Moving_Square_Scope_X_data_rep1,X signals,fused_x,fused_x,1,1506,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Square\Moving_Square_rep1_2026-08-13_23-26-26\Moving_Square_Scope_X_data_rep1\csv\33_fused_x.csv,time_dim_last [1     1  1506]
Moving_Square_Scope_X_data_rep1,X signals,safe_X,safe_X,1,1506,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Square\Moving_Square_rep1_2026-08-13_23-26-26\Moving_Square_Scope_X_data_rep1\csv\41_safe_X.csv,time_dim_last [1     1  1506]
Moving_Square_Scope_X_data_rep1,Safety,safe_to_drive,Mux_Safety_Status:1,4,1506,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Square\Moving_Square_rep1_2026-08-13_23-26-26\Moving_Square_Scope_X_data_rep1\csv\49_safe_to_drive.csv,time_dim_first [1506     8]
Moving_Square_Scope_X_data_rep1,Safety,safe_speed_norm,Mux_Safety_Status:1,8,1506,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Square\Moving_Square_rep1_2026-08-13_23-26-26\Moving_Square_Scope_X_data_rep1\csv\57_safe_speed_norm.csv,time_dim_first [1506     8]
Moving_Square_Scope_Y_data_rep1,Y signals,src1_y,src1_y,1,1506,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Square\Moving_Square_rep1_2026-08-13_23-26-26\Moving_Square_Scope_Y_data_rep1\csv\01_src1_y.csv,time_dim_last [1     1  1506]
Moving_Square_Scope_Y_data_rep1,Y signals,src2_y,src2_y,1,1506,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Square\Moving_Square_rep1_2026-08-13_23-26-26\Moving_Square_Scope_Y_data_rep1\csv\09_src2_y.csv,time_dim_last [1     1  1506]
