time_s,safe_to_drive
0,6
0.005,6
0.01,6
0.015,6
0.02,6
0.025,6
0.03,6
0.035,6
0.04,6
0.045,6
0.05,6
0.055,6
0.06,6
0.065,6
0.07,6
0.075,6
0.08,6
0.085,6
0.09,6
0.095,6
0.1,6
0.105,6
0.11,6
0.115,6
0.12,6
0.125,6
0.13,6
0.135,6
0.14,6
0.145,6
0.15,6
0.155,6
0.16,6
0.165,6
0.17,6
0.175,6
0.18,6
0.185,6
0.19,6
0.195,6
0.2,6
0.205,6
0.21,6
0.215,6
0.22,6
0.225,6
0.23,6
0.235,6
0.24,6
0.245,6
0.25,6
0.255,6
0.26,6
0.265,6
0.27,6
0.275,6
0.28,6
0.285,6
0.29,6
0.295,6
0.3,6
0.305,6
0.31,6
0.315,6
0.32,6
0.325,6
0.33,6
0.335,6
0.34,6
0.345,6
0.35,6
0.355,6
0.36,6
0.365,6
0.37,6
0.375,6
0.38,6
0.385,6
0.39,6
0.395,6
0.4,6
0.405,6
0.41,6
0.415,6
0.42,6
0.425,6
0.43,6
0.435,6
0.44,6
0.445,6
0.45,6
0.455,6
0.46,6
0.465,6
0.47,6
0.475,6
0.48,6
0.485,6
0.49,6
0.495,6
0.5,6
0.505,6
0.51,6
0.515,6
0.52,6
0.525,6
0.53,6
0.535,6
0.54,6
0.545,6
0.55,6
0.555,6
0.56,6
0.565,6
0.57,6
0.575,6
0.58,6
0.585,6
0.59,6
0.595,6
0.6,6
0.605,6
0.61,6
0.615,6
0.62,6
0.625,6
0.63,6
0.635,6
0.64,6
0.645,6
0.65,6
0.655,6
0.66,6
0.665,6
0.67,6
0.675,6
0.68,6
0.685,6
0.69,6
0.695,6
0.7,6
0.705,6
0.71,6
0.715,6
0.72,6
0.725,6
0.73,6
0.735,6
0.74,6
0.745,6
0.75,6
0.755,6
0.76,6
0.765,6
0.77,6
0.775,6
0.78,6
0.785,6
0.79,6
0.795,6
0.8,6
0.805,6
0.81,6
0.815,6
0.82,6
0.825,6
0.83,6
0.835,6
0.84,6
0.845,6
0.85,6
0.855,6
0.86,6
0.865,6
0.87,6
0.875,6
0.88,6
0.885,6
0.89,6
0.895,6
0.9,6
0.905,6
0.91,6
0.915,6
0.92,6
0.925,6
0.93,6
0.935,6
0.94,6
0.945,6
0.95,6
0.955,6
0.96,6
0.965,6
0.97,6
0.975,6
0.98,6
0.985,6
0.99,6
0.995,6
1,6
1.005,6
1.01,6
1.015,6
1.02,6
1.025,6
1.03,6
1.035,6
1.04,6
1.045,6
1.05,6
1.055,6
1.06,6
1.065,6
1.07,6
1.075,6
1.08,6
1.085,6
1.09,6
1.095,6
1.1,6
1.105,6
1.11,6
1.115,6
1.12,6
1.125,6
1.13,6
1.135,6
1.14,6
1.145,6
1.15,6
1.155,6
1.16,6
1.165,6
1.17,6
1.175,6
1.18,6
1.185,6
1.19,6
1.195,6
1.2,6
1.205,6
1.21,6
1.215,6
1.22,6
1.225,6
1.23,6
1.235,6
1.24,6
1.245,6
1.25,6
1.255,6
1.26,6
1.265,6
1.27,6
1.275,6
1.28,6
1.285,6
1.29,6
1.295,6
1.3,6
1.305,6
1.31,6
1.315,6
1.32,6
1.325,6
1.33,6
1.335,6
1.34,6
1.345,6
1.35,6
1.355,6
1.36,6
1.365,6
1.37,6
1.375,6
1.38,6
1.385,6
1.39,6
1.395,6
1.4,6
1.405,6
1.41,6
1.415,6
1.42,6
1.425,6
1.43,6
1.435,6
1.44,6
1.445,6
1.45,6
1.455,6
1.46,6
1.465,6
1.47,6
1.475,6
1.48,6
1.485,6
1.49,6
1.495,6
1.5,6
1.505,6
1.51,6
1.515,6
1.52,6
1.525,6
1.53,6
1.535,6
1.54,6
1.545,6
1.55,6
1.555,6
1.56,6
1.565,6
1.57,6
1.575,6
1.58,6
1.585,6
1.59,6
1.595,6
1.6,6
1.605,6
1.61,6
1.615,6
1.62,6
1.625,6
1.63,6
1.635,6
1.64,6
1.645,6
1.65,6
1.655,6
1.66,6
1.665,6
1.67,6
1.675,6
1.68,6
1.685,6
1.69,6
1.695,6
1.7,6
1.705,6
1.71,6
1.715,6
1.72,6
1.725,6
1.73,6
1.735,6
1.74,6
1.745,6
1.75,6
1.755,6
1.76,6
1.765,6
1.77,6
1.775,6
1.78,6
1.785,6
1.79,6
1.795,6
1.8,6
1.805,6
1.81,6
1.815,6
1.82,6
1.825,6
1.83,6
1.835,6
1.84,6
1.845,6
1.85,6
1.855,6
1.86,6
1.865,6
1.87,6
1.875,6
1.88,6
1.885,6
1.89,6
1.895,6
1.9,6
1.905,6
1.91,6
1.915,6
1.92,6
1.925,6
1.93,6
1.935,6
1.94,6
1.945,6
1.95,6
1.955,6
1.96,6
1.965,6
1.97,6
1.975,6
1.98,6
1.985,6
1.99,6
1.995,6
2,6
2.005,6
2.01,6
2.015,6
2.02,6
2.025,6
2.03,6
2.035,6
2.04,6
2.045,6
2.05,6
2.055,6
2.06,6
2.065,6
2.07,6
2.075,6
2.08,6
2.085,6
2.09,6
2.095,6
2.1,6
2.105,6
2.11,6
2.115,7
