time_s,deadman_out
0,2
0.005,2
0.01,2
0.015,2
0.02,2
0.025,2
0.03,2
0.035,2
0.04,2
0.045,2
0.05,2
0.055,2
0.06,2
0.065,2
0.07,2
0.075,2
0.08,2
0.085,2
0.09,2
0.095,2
0.1,2
0.105,2
0.11,2
0.115,2
0.12,2
0.125,2
0.13,2
0.135,2
0.14,2
0.145,2
0.15,2
0.155,2
0.16,2
0.165,2
0.17,2
0.175,2
0.18,2
0.185,2
0.19,2
0.195,2
0.2,2
0.205,2
0.21,2
0.215,2
0.22,2
0.225,2
0.23,2
0.235,2
0.24,2
0.245,2
0.25,2
0.255,2
0.26,2
0.265,2
0.27,2
0.275,2
0.28,2
0.285,2
0.29,2
0.295,2
0.3,2
0.305,2
0.31,2
0.315,2
0.32,2
0.325,2
0.33,2
0.335,2
0.34,2
0.345,2
0.35,2
0.355,2
0.36,2
0.365,2
0.37,2
0.375,2
0.38,2
0.385,2
0.39,2
0.395,2
0.4,2
0.405,2
0.41,2
0.415,2
0.42,2
0.425,2
0.43,2
0.435,2
0.44,2
0.445,2
0.45,2
0.455,2
0.46,2
0.465,2
0.47,2
0.475,2
0.48,2
0.485,2
0.49,2
0.495,2
0.5,2
0.505,2
0.51,2
0.515,2
0.52,2
0.525,2
0.53,2
0.535,2
0.54,2
0.545,2
0.55,2
0.555,2
0.56,2
0.565,2
0.57,2
0.575,2
0.58,2
0.585,2
0.59,2
0.595,2
0.6,2
0.605,2
0.61,2
0.615,2
0.62,2
0.625,2
0.63,2
0.635,2
0.64,2
0.645,2
0.65,2
0.655,2
0.66,2
0.665,2
0.67,2
0.675,2
0.68,2
0.685,2
0.69,2
0.695,2
0.7,2
0.705,2
0.71,2
0.715,2
0.72,2
0.725,2
0.73,2
0.735,2
0.74,2
0.745,2
0.75,2
0.755,2
0.76,2
0.765,2
0.77,2
0.775,2
0.78,2
0.785,2
0.79,2
0.795,2
0.8,2
0.805,2
0.81,2
0.815,2
0.82,2
0.825,2
0.83,2
0.835,2
0.84,2
0.845,2
0.85,2
0.855,2
0.86,2
0.865,2
0.87,2
0.875,2
0.88,2
0.885,2
0.89,2
0.895,2
0.9,2
0.905,2
0.91,2
0.915,2
0.92,2
0.925,2
0.93,2
0.935,2
0.94,2
0.945,2
0.95,2
0.955,2
0.96,2
0.965,2
0.97,2
0.975,2
0.98,2
0.985,2
0.99,2
0.995,2
1,2
1.005,2
1.01,2
1.015,2
1.02,2
1.025,2
1.03,2
1.035,2
1.04,2
1.045,2
1.05,2
1.055,2
1.06,2
1.065,2
1.07,2
1.075,2
1.08,2
1.085,2
1.09,2
1.095,2
1.1,2
1.105,2
1.11,2
1.115,2
1.12,2
1.125,2
1.13,2
1.135,2
1.14,2
1.145,2
1.15,2
1.155,2
1.16,2
1.165,2
1.17,2
1.175,2
1.18,2
1.185,2
1.19,2
1.195,2
1.2,2
1.205,2
1.21,2
1.215,2
1.22,2
1.225,2
1.23,2
1.235,2
1.24,2
1.245,2
1.25,2
1.255,2
1.26,2
1.265,2
1.27,2
1.275,2
1.28,2
1.285,2
1.29,2
1.295,2
1.3,2
1.305,2
1.31,2
1.315,2
1.32,2
1.325,2
1.33,2
1.335,2
1.34,2
1.345,2
1.35,2
1.355,2
1.36,2
1.365,2
1.37,2
1.375,2
1.38,2
1.385,2
1.39,2
1.395,2
1.4,2
1.405,2
1.41,2
1.415,2
1.42,2
1.425,2
1.43,2
1.435,2
1.44,2
1.445,2
1.45,2
1.455,2
1.46,2
1.465,2
1.47,2
1.475,2
1.48,2
1.485,2
1.49,2
1.495,2
1.5,2
1.505,2
1.51,2
1.515,2
1.52,2
1.525,2
1.53,2
1.535,2
1.54,2
1.545,2
1.55,2
1.555,2
1.56,2
1.565,2
1.57,2
1.575,2
1.58,2
1.585,2
1.59,2
1.595,2
1.6,2
1.605,2
1.61,2
1.615,2
1.62,2
1.625,2
1.63,2
1.635,2
1.64,2
1.645,2
1.65,2
1.655,2
1.66,2
1.665,2
1.67,2
1.675,2
1.68,2
1.685,2
1.69,2
1.695,2
1.7,2
1.705,2
1.71,2
1.715,2
1.72,2
1.725,2
1.73,2
1.735,2
1.74,2
1.745,2
1.75,2
1.755,2
1.76,2
1.765,2
1.77,2
1.775,2
1.78,2
1.785,2
1.79,2
1.795,2
1.8,2
1.805,2
1.81,2
1.815,2
1.82,2
1.825,2
1.83,2
1.835,2
1.84,2
1.845,2
1.85,2
1.855,2
1.86,2
1.865,2
1.87,2
1.875,2
1.88,2
1.885,2
1.89,2
1.895,2
1.9,2
1.905,2
1.91,2
1.915,2
1.92,2
1.925,2
1.93,2
1.935,2
1.94,2
1.945,2
1.95,2
1.955,2
1.96,2
1.965,2
1.97,2
1.975,2
1.98,2
1.985,2
1.99,2
1.995,2
2,2
2.005,2
2.01,2
2.015,2
2.02,2
2.025,2
2.03,2
2.035,2
2.04,2
2.045,2
2.05,2
2.055,2
2.06,2
2.065,2
2.07,2
2.075,2
2.08,2
2.085,2
2.09,2
2.095,2
2.1,2
2.105,2
2.11,2
2.115,2
2.12,2
2.125,2
2.13,2
2.135,2
2.14,2
2.145,2
2.15,2
2.155,2
2.16,2
2.165,2
2.17,2
2.175,2
2.18,2
2.185,2
