signal_label,panel_index,panel_title,matched,signal_id,csv_file,status
src1_valid,1,,0,NaN,,not_found
src1_deadman,1,,0,NaN,,not_found
src1_move_en,1,,0,NaN,,not_found
src2_valid,1,,0,NaN,,not_found
src2_deadman,1,,0,NaN,,not_found
src2_move_en,1,,0,NaN,,not_found
fused_available,2,,0,NaN,,not_found
operator_stop_request,2,,0,NaN,,not_found
fused_source_id,2,,0,NaN,,not_found
fusion_mode,2,,0,NaN,,not_found
active_sources_mask,2,,0,NaN,,not_found
candidate_sources_mask,2,,0,NaN,,not_found
pose_valid,3,,0,NaN,,not_found
deadman_out,3,,0,NaN,,not_found
move_en_out,3,,0,NaN,,not_found
safe_to_drive,3,,0,NaN,,not_found
hold_mode,3,,0,NaN,,not_found
soft_decay,3,,0,NaN,,not_found
hard_stop,3,,0,NaN,,not_found
safe_speed_norm,3,,0,NaN,,not_found
