scope_folder,panel_index,panel_title,signal_label,matched,signal_id,csv_path,png_light_path,png_dark_path,status
Moving_X_Scope_X_data_rep2,1,,src1_x,1,62694,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\csv\src1_x.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope_dark.png,ok
Moving_X_Scope_X_data_rep2,1,,src2_x,1,62690,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\csv\src2_x.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope_dark.png,ok
Moving_X_Scope_X_data_rep2,1,,pred1_x,1,62686,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\csv\pred1_x.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope_dark.png,ok
Moving_X_Scope_X_data_rep2,1,,pred2_x,1,62682,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\csv\pred2_x.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope_dark.png,ok
Moving_X_Scope_X_data_rep2,1,,fused_x,1,62678,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\csv\fused_x.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope_dark.png,ok
Moving_X_Scope_X_data_rep2,1,,safe_X,1,62674,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\csv\safe_X.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_X_data_rep2\png\Moving_X_Scope_X_data_rep2_scope_dark.png,ok
Moving_X_Scope_X_data_rep2,2,,safe_to_drive,0,0,,,,not_found
Moving_X_Scope_X_data_rep2,2,,safe_speed_norm,0,0,,,,not_found
Moving_X_Scope_Y_data_rep2,1,,src1_y,1,62742,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\csv\src1_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope_dark.png,ok
Moving_X_Scope_Y_data_rep2,1,,src2_y,1,62738,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\csv\src2_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope_dark.png,ok
Moving_X_Scope_Y_data_rep2,1,,pred1_y,1,62734,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\csv\pred1_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope_dark.png,ok
