signal_index,signal_id,name,block_path,root_source,units
1,62540,Selector6:1,ESP32_UDP_UART_Bridge/Selector6,,
2,62544,Selector6,ESP32_UDP_UART_Bridge/To Workspace5,,
3,62548,Selector1:1,ESP32_UDP_UART_Bridge/Selector1,,
4,62552,Selector5:1,ESP32_UDP_UART_Bridge/Selector5,,
5,62556,Selector1,ESP32_UDP_UART_Bridge/To Workspace3,,
6,62560,Selector5,ESP32_UDP_UART_Bridge/To Workspace4,,
7,62564,Selector2:1,ESP32_UDP_UART_Bridge/Selector2,,
8,62568,Selector3:1,ESP32_UDP_UART_Bridge/Selector3,,
9,62572,Selector7:1,ESP32_UDP_UART_Bridge/Selector7,,
10,62576,Selector2,ESP32_UDP_UART_Bridge/To Workspace,,
11,62580,Selector3,ESP32_UDP_UART_Bridge/To Workspace1,,
12,62584,Selector7,ESP32_UDP_UART_Bridge/To Workspace7,,
13,62589,Mux_Safety_Status:1,ESP32_UDP_UART_Bridge/Subsystem/Mux_Safety_Status,,
14,62594,Mux_Fusion_Status:1,ESP32_UDP_UART_Bridge/Subsystem/Mux_Fusion_Status,,
15,62599,Mux_Source_Status:1,ESP32_UDP_UART_Bridge/Subsystem/Mux_Source_Status,,
16,62604,Mux1:1,ESP32_UDP_UART_Bridge/Subsystem/Mux1,,
17,62609,Mux1(1),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
18,62614,Mux2:1,ESP32_UDP_UART_Bridge/Subsystem/Mux2,,
19,62619,Mux_Trajectory_X:1,ESP32_UDP_UART_Bridge/Subsystem/Mux_Trajectory_X,,
20,62624,Mux_Trajectory_X(1),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
21,62629,Mux:1,ESP32_UDP_UART_Bridge/Mux,,
22,62633,Selector4:1,ESP32_UDP_UART_Bridge/Selector4,,
23,62637,Selector4,ESP32_UDP_UART_Bridge/To Workspace2,,
24,62642,Mux3:1(1),ESP32_UDP_UART_Bridge/Subsystem/Mux3,,
25,62646,MATLAB Function5:1,ESP32_UDP_UART_Bridge/MATLAB Function5,,
26,62650,MATLAB Function5:2,ESP32_UDP_UART_Bridge/MATLAB Function5,,
27,62654,MATLAB Function5:3,ESP32_UDP_UART_Bridge/MATLAB Function5,,
28,62658,MATLAB Function5:4,ESP32_UDP_UART_Bridge/MATLAB Function5,,
29,62662,MATLAB Function5:5,ESP32_UDP_UART_Bridge/MATLAB Function5,,
30,62666,MATLAB Function5:6,ESP32_UDP_UART_Bridge/MATLAB Function5,,
31,62670,MATLAB Function5:7,ESP32_UDP_UART_Bridge/MATLAB Function5,,
32,62674,safe_X,ESP32_UDP_UART_Bridge/Subsystem/SEL_safe_x,,
33,62678,fused_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_fused_x,,
34,62682,pred2_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred2_x,,
35,62686,pred1_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred1_x,,
36,62690,src2_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_src2_x,,
37,62694,src1_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_src1_x,,
38,62698,safe_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_safe_yaw_u,,
39,62702,fused_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_fused_yaw_u,,
40,62706,pred2_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred2_yaw_u,,
41,62710,pred1_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred1_yaw_u,,
42,62714,src2_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_src2_yaw_u,,
43,62718,src1_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_src1_yaw_u,,
44,62722,safe_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_safe_y,,
45,62726,fused_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_fused_y,,
46,62730,pred2_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred2_y,,
47,62734,pred1_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred1_y,,
48,62738,src2_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_src2_y,,
49,62742,src1_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_src1_y,,
50,62746,Selector8:1,ESP32_UDP_UART_Bridge/Selector8,,
51,62750,Selector8,ESP32_UDP_UART_Bridge/To Workspace8,,
52,62754,MATLAB System:5,ESP32_UDP_UART_Bridge/MATLAB System,,
53,62758,MATLAB System:6,ESP32_UDP_UART_Bridge/MATLAB System,,
54,62762,MATLAB System:7,ESP32_UDP_UART_Bridge/MATLAB System,,
55,62774,Mux3:1(2),ESP32_UDP_UART_Bridge/Subsystem/Mux3,,
56,62783,Mux1(2),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
57,62784,Mux1(3),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
58,62785,Mux1(4),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
59,62786,Mux1(5),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
60,62787,Mux1(6),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
61,62788,Mux_Trajectory_X(2),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
62,62789,Mux_Trajectory_X(3),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
63,62790,Mux_Trajectory_X(4),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
64,62791,Mux_Trajectory_X(5),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
65,62792,Mux_Trajectory_X(6),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,,
