time_s,fused_y
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0
0.16,0
0.165,0
0.17,0
0.175,0
0.18,0
0.185,0
0.19,0
0.195,0
0.2,0
0.205,0
0.21,0
0.215,0
0.22,0
0.225,0
0.23,0
0.235,0
0.24,0
0.245,0
0.25,0
0.255,0
0.26,0
0.265,0
0.27,0
0.275,0
0.28,0
0.285,0
0.29,0
0.295,0
0.3,0
0.305,0
0.31,0
0.315,0
0.32,0
0.325,0
0.33,0
0.335,0
0.34,0
0.345,0
0.35,0
0.355,0
0.36,0
0.365,0
0.37,0
0.375,0
0.38,0
0.385,0
0.39,0
0.395,0
0.4,0
0.405,0
0.41,0
0.415,0
0.42,0
0.425,0
0.43,0
0.435,0
0.44,0
0.445,0
0.45,0
0.455,0
0.46,0
0.465,0
0.47,0
0.475,0
0.48,0
0.485,0
0.49,0
0.495,0
0.5,0
0.505,0
0.51,0
0.515,0
0.52,0
0.525,0
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
1.005,0
1.01,0
1.015,0
1.02,0
1.025,0
1.03,0
1.035,0
1.04,0
1.045,0
1.05,0
1.055,0
1.06,0
1.065,0
1.07,0
1.075,0
1.08,0
1.085,0
1.09,0
1.095,0
1.1,0
1.105,0
1.11,0
1.115,0
1.12,0
1.125,0
1.13,0
1.135,0
1.14,0
1.145,0
1.15,0
1.155,0
1.16,0
1.165,0
1.17,0
1.175,0
1.18,0
1.185,0
1.19,0
1.195,0
1.2,0
1.205,0
1.21,0
1.215,0
1.22,0
1.225,0
1.23,0
1.235,0
1.24,0
1.245,0
1.25,0
1.255,0
1.26,0
1.265,0
1.27,0
1.275,0
1.28,0
1.285,0
1.29,0
1.295,0
1.3,0
1.305,0
1.31,0
1.315,0
1.32,0
1.325,0
1.33,0
1.335,0
1.34,0
1.345,0
1.35,0
1.355,0
1.36,0
1.365,0
1.37,0
1.375,0
1.38,0
1.385,0
1.39,0
1.395,0
1.4,0
1.405,0
1.41,0
1.415,0
1.42,0
1.425,0
1.43,0
1.435,0
1.44,0
1.445,0
1.45,0
1.455,0
1.46,0
1.465,0
1.47,0
1.475,0
1.48,0
1.485,0
1.49,0
1.495,0
1.5,0
1.505,0
1.51,0
1.515,0
1.52,0
1.525,0
1.53,0
1.535,0
1.54,0
1.545,0
1.55,0
1.555,0
1.56,0
1.565,0
1.57,0
1.575,0
1.58,0
1.585,0
1.59,0
1.595,0
1.6,0
1.605,0
1.61,0
1.615,0
1.62,0
1.625,0
1.63,0
1.635,0
1.64,0
1.645,0
1.65,0
1.655,0
1.66,0
1.665,0
1.67,0
1.675,0
1.68,0
1.685,0
1.69,0
1.695,0
1.7,0
1.705,0
1.71,0
1.715,0
1.72,0
1.725,0
1.73,0
1.735,0
1.74,0
1.745,0
1.75,0
1.755,0
1.76,0
1.765,0
1.77,0
1.775,0
1.78,0
1.785,0
1.79,0
1.795,0
1.8,0
1.805,0
1.81,0
1.815,0
1.82,0
1.825,0
1.83,0
1.835,0
1.84,0
1.845,0
1.85,0
1.855,0
1.86,0
1.865,0
1.87,0
1.875,0
1.88,0
1.885,0
1.89,0
1.895,0
1.9,0
1.905,0
1.91,0
1.915,0
1.92,0
1.925,0
1.93,0
1.935,0
1.94,0
1.945,0
1.95,0
1.955,0
1.96,0
1.965,0
1.97,0
1.975,0
1.98,0
1.985,0
1.99,0
1.995,0
2,0
2.005,0
2.01,0
2.015,0
2.02,0
2.025,0
2.03,0
2.035,0
2.04,0
2.045,0
2.05,0
2.055,0
2.06,0
2.065,0
2.07,0
2.075,0
2.08,0
2.085,0
2.09,0
2.095,0
2.1,0
2.105,0
2.11,0
2.115,0
2.12,0
2.125,0
2.13,0
2.135,0
2.14,0
2.145,0
2.15,0
2.155,0
2.16,0
2.165,0
2.17,-0.271486372
2.175,-0.271722347
2.18,-0.270606667
2.185,-0.271265715
2.19,-0.271395475
2.195,-0.271525234
2.2,-0.271654993
2.205,-0.271784753
2.21,-0.271502882
