time_s,hard_stop
0,13
0.005,13
0.01,13
0.015,13
0.02,13
0.025,13
0.03,13
0.035,13
0.04,13
0.045,13
0.05,13
0.055,13
0.06,13
0.065,13
0.07,13
0.075,13
0.08,13
0.085,13
0.09,13
0.095,13
0.1,13
0.105,13
0.11,13
0.115,13
0.12,13
0.125,13
0.13,13
0.135,13
0.14,13
0.145,13
0.15,13
0.155,13
0.16,13
0.165,13
0.17,13
0.175,13
0.18,13
0.185,13
0.19,13
0.195,13
0.2,13
0.205,13
0.21,13
0.215,13
0.22,13
0.225,13
0.23,13
0.235,13
0.24,13
0.245,13
0.25,13
0.255,13
0.26,13
0.265,13
0.27,13
0.275,13
0.28,13
0.285,13
0.29,13
0.295,13
0.3,13
0.305,13
0.31,13
0.315,13
0.32,13
0.325,13
0.33,13
0.335,13
0.34,13
0.345,13
0.35,13
0.355,13
0.36,13
0.365,13
0.37,13
0.375,13
0.38,13
0.385,13
0.39,13
0.395,13
0.4,13
0.405,13
0.41,13
0.415,13
0.42,13
0.425,13
0.43,13
0.435,13
0.44,13
0.445,13
0.45,13
0.455,13
0.46,13
0.465,13
0.47,13
0.475,13
0.48,13
0.485,13
0.49,13
0.495,13
0.5,13
0.505,13
0.51,13
0.515,13
0.52,13
0.525,13
0.53,13
0.535,13
0.54,13
0.545,13
0.55,13
0.555,13
0.56,13
0.565,13
0.57,13
0.575,13
0.58,13
0.585,13
0.59,13
0.595,13
0.6,13
0.605,13
0.61,13
0.615,13
0.62,13
0.625,13
0.63,13
0.635,13
0.64,13
0.645,13
0.65,13
0.655,13
0.66,13
0.665,13
0.67,13
0.675,13
0.68,13
0.685,13
0.69,13
0.695,13
0.7,13
0.705,13
0.71,13
0.715,13
0.72,13
0.725,13
0.73,13
0.735,13
0.74,13
0.745,13
0.75,13
0.755,13
0.76,13
0.765,13
0.77,13
0.775,13
0.78,13
0.785,13
0.79,13
0.795,13
0.8,13
0.805,13
0.81,13
0.815,13
0.82,13
0.825,13
0.83,13
0.835,13
0.84,13
0.845,13
0.85,13
0.855,13
0.86,13
0.865,13
0.87,13
0.875,13
0.88,13
0.885,13
0.89,13
0.895,13
0.9,13
0.905,13
0.91,13
0.915,13
0.92,13
0.925,13
0.93,13
0.935,13
0.94,13
0.945,13
0.95,13
0.955,13
0.96,13
0.965,13
0.97,13
0.975,13
0.98,13
0.985,13
0.99,13
0.995,13
1,13
1.005,13
1.01,13
1.015,13
1.02,13
1.025,13
1.03,13
1.035,13
1.04,13
1.045,13
1.05,13
1.055,13
1.06,13
1.065,13
1.07,13
1.075,13
1.08,13
1.085,13
1.09,13
1.095,13
1.1,13
1.105,13
1.11,13
1.115,13
1.12,13
1.125,13
1.13,13
1.135,13
1.14,13
1.145,13
1.15,13
1.155,13
1.16,13
1.165,13
1.17,13
1.175,13
1.18,13
1.185,13
1.19,13
1.195,13
1.2,13
1.205,13
1.21,13
1.215,13
1.22,13
1.225,13
1.23,13
1.235,13
1.24,13
1.245,13
1.25,13
1.255,13
1.26,13
1.265,13
1.27,13
1.275,13
1.28,13
1.285,13
1.29,13
1.295,13
1.3,13
1.305,13
1.31,13
1.315,13
1.32,13
1.325,13
1.33,13
1.335,13
1.34,13
1.345,13
1.35,13
1.355,13
1.36,13
1.365,13
1.37,13
1.375,13
1.38,13
1.385,13
1.39,13
1.395,13
1.4,13
1.405,13
1.41,13
1.415,13
1.42,13
1.425,13
1.43,13
1.435,13
1.44,13
1.445,13
1.45,13
1.455,13
1.46,13
1.465,13
1.47,13
1.475,13
1.48,13
1.485,13
1.49,13
1.495,13
1.5,13
1.505,13
1.51,13
1.515,13
1.52,13
1.525,13
1.53,13
1.535,13
1.54,13
1.545,13
1.55,13
1.555,13
1.56,13
1.565,13
1.57,13
