time_s,fused_source_id
0,4
0.005,4
0.01,4
0.015,4
0.02,4
0.025,4
0.03,4
0.035,4
0.04,4
0.045,4
0.05,4
0.055,4
0.06,4
0.065,4
0.07,4
0.075,4
0.08,4
0.085,4
0.09,4
0.095,4
0.1,4
0.105,4
0.11,4
0.115,4
0.12,4
0.125,4
0.13,4
0.135,4
0.14,4
0.145,4
0.15,4
0.155,4
0.16,4
0.165,4
0.17,4
0.175,4
0.18,4
0.185,4
0.19,4
0.195,4
0.2,4
0.205,4
0.21,4
0.215,4
0.22,4
0.225,4
0.23,4
0.235,4
0.24,4
0.245,4
0.25,4
0.255,4
0.26,4
0.265,4
0.27,4
0.275,4
0.28,4
0.285,4
0.29,4
0.295,4
0.3,4
0.305,4
0.31,4
0.315,4
0.32,4
0.325,4
0.33,4
0.335,4
0.34,4
0.345,4
0.35,4
0.355,4
0.36,4
0.365,4
0.37,4
0.375,4
0.38,4
0.385,4
0.39,4
0.395,4
0.4,4
0.405,4
0.41,4
0.415,4
0.42,4
0.425,4
0.43,4
0.435,4
0.44,4
0.445,4
0.45,4
0.455,4
0.46,4
0.465,4
0.47,4
0.475,4
0.48,4
0.485,4
0.49,4
0.495,4
0.5,4
0.505,4
0.51,4
0.515,4
0.52,4
0.525,4
0.53,4
0.535,4
0.54,4
0.545,4
0.55,4
0.555,4
0.56,4
0.565,4
0.57,4
0.575,4
0.58,4
0.585,4
0.59,4
0.595,4
0.6,4
0.605,4
0.61,4
0.615,4
0.62,4
0.625,4
0.63,4
0.635,4
0.64,4
0.645,4
0.65,4
0.655,4
0.66,4
0.665,4
0.67,4
0.675,4
0.68,4
0.685,4
0.69,4
0.695,4
0.7,4
0.705,4
0.71,4
0.715,4
0.72,4
0.725,4
0.73,4
0.735,4
0.74,4
0.745,4
0.75,4
0.755,4
0.76,4
0.765,4
0.77,4
0.775,4
0.78,4
0.785,4
0.79,4
0.795,4
0.8,4
0.805,4
0.81,4
0.815,4
0.82,4
0.825,4
0.83,4
0.835,4
0.84,4
0.845,4
0.85,4
0.855,4
0.86,4
0.865,4
0.87,4
0.875,4
0.88,4
0.885,4
0.89,4
0.895,4
0.9,4
0.905,4
0.91,4
0.915,4
0.92,4
0.925,4
0.93,4
0.935,4
0.94,4
0.945,4
0.95,4
0.955,4
0.96,4
0.965,4
0.97,4
0.975,4
0.98,4
0.985,4
0.99,4
0.995,4
1,4
1.005,4
1.01,4
1.015,4
1.02,4
1.025,4
1.03,4
1.035,4
1.04,4
1.045,4
1.05,4
1.055,4
1.06,4
1.065,4
1.07,4
1.075,4
1.08,4
1.085,4
1.09,4
1.095,4
1.1,4
1.105,4
1.11,4
1.115,4
1.12,4
1.125,4
1.13,4
1.135,4
1.14,4
1.145,4
1.15,4
1.155,4
1.16,4
1.165,4
1.17,4
1.175,4
1.18,4
1.185,4
1.19,4
1.195,4
1.2,4
1.205,4
1.21,4
1.215,4
1.22,4
1.225,4
1.23,4
1.235,4
1.24,4
1.245,4
1.25,4
1.255,4
1.26,4
1.265,4
1.27,4
1.275,4
1.28,4
1.285,4
1.29,4
1.295,4
1.3,4
1.305,4
1.31,4
1.315,4
1.32,4
1.325,4
1.33,4
1.335,4
1.34,4
1.345,4
1.35,4
1.355,4
1.36,4
1.365,4
1.37,4
1.375,4
1.38,4
1.385,4
1.39,4
1.395,4
1.4,4
1.405,4
1.41,4
1.415,4
1.42,4
1.425,4
1.43,4
1.435,4
1.44,4
1.445,4
1.45,4
1.455,4
1.46,4
1.465,4
1.47,4
1.475,4
1.48,4
1.485,4
1.49,4
1.495,4
1.5,4
1.505,4
1.51,4
1.515,4
1.52,4
1.525,4
1.53,4
1.535,4
1.54,4
1.545,4
1.55,4
1.555,4
1.56,4
1.565,4
1.57,4
1.575,4
1.58,4
1.585,4
1.59,4
1.595,4
1.6,4
1.605,4
1.61,4
1.615,4
1.62,4
1.625,4
1.63,4
1.635,4
1.64,4
1.645,4
1.65,4
1.655,4
1.66,4
1.665,4
1.67,4
1.675,4
1.68,4
1.685,4
1.69,4
1.695,4
1.7,4
1.705,4
1.71,4
1.715,4
1.72,4
1.725,4
1.73,4
1.735,4
1.74,4
1.745,4
1.75,4
1.755,4
1.76,4
1.765,4
1.77,4
1.775,4
1.78,4
1.785,4
1.79,4
1.795,4
1.8,4
1.805,4
1.81,4
1.815,4
1.82,4
1.825,4
1.83,4
1.835,4
1.84,4
1.845,4
1.85,4
1.855,4
1.86,4
1.865,4
1.87,4
1.875,4
1.88,4
1.885,4
1.89,4
1.895,4
1.9,4
1.905,4
1.91,4
1.915,4
1.92,4
1.925,4
1.93,4
1.935,4
1.94,4
1.945,4
1.95,4
1.955,4
1.96,4
1.965,4
1.97,4
1.975,4
1.98,4
1.985,4
1.99,4
1.995,4
2,4
2.005,4
2.01,4
2.015,4
2.02,4
2.025,4
2.03,4
2.035,4
2.04,4
2.045,4
2.05,4
2.055,4
2.06,4
2.065,4
2.07,4
2.075,4
2.08,4
2.085,4
2.09,4
2.095,4
2.1,4
2.105,4
2.11,4
2.115,4
2.12,4
2.125,4
2.13,4
2.135,4
2.14,4
2.145,4
2.15,4
2.155,4
2.16,4
2.165,4
2.17,4
2.175,4
2.18,4
2.185,4
2.19,4
2.195,4
2.2,4
2.205,4
2.21,4
2.215,4
2.22,4
2.225,4
2.23,4
2.235,4
2.24,4
2.245,4
2.25,4
2.255,4
2.26,4
2.265,4
2.27,4
2.275,4
2.28,4
2.285,4
2.29,4
2.295,4
2.3,4
2.305,4
2.31,4
2.315,4
2.32,4
2.325,4
2.33,4
2.335,4
2.34,4
2.345,4
2.35,4
2.355,4
2.36,4
2.365,4
2.37,4
2.375,4
2.38,4
2.385,4
2.39,4
2.395,4
2.4,4
2.405,4
2.41,4
2.415,4
2.42,4
2.425,4
2.43,4
2.435,4
2.44,4
2.445,4
2.45,4
2.455,4
2.46,4
2.465,4
2.47,4
2.475,4
2.48,4
2.485,4
2.49,4
2.495,4
2.5,4
2.505,4
2.51,4
2.515,4
2.52,4
2.525,4
2.53,4
2.535,4
2.54,4
2.545,4
2.55,4
2.555,4
2.56,4
2.565,4
2.57,4
2.575,4
2.58,4
2.585,4
2.59,4
2.595,4
2.6,4
2.605,4
2.61,4
2.615,4
2.62,4
2.625,4
2.63,4
2.635,4
2.64,4
2.645,4
2.65,4
2.655,4
2.66,4
2.665,4
2.67,4
2.675,4
2.68,4
2.685,4
2.69,4
2.695,4
2.7,4
2.705,4
2.71,4
2.715,4
2.72,4
2.725,4
2.73,4
2.735,4
2.74,4
2.745,4
2.75,4
2.755,4
2.76,4
2.765,4
2.77,4
2.775,4
2.78,4
2.785,4
2.79,4
2.795,4
2.8,4
2.805,4
2.81,4
2.815,4
2.82,4
2.825,4
2.83,4
2.835,4
2.84,4
2.845,4
2.85,4
2.855,4
2.86,4
2.865,4
2.87,4
2.875,4
2.88,4
2.885,4
2.89,4
2.895,4
2.9,4
2.905,4
2.91,4
2.915,4
2.92,4
2.925,4
2.93,4
2.935,4
2.94,4
2.945,4
2.95,4
2.955,4
2.96,4
2.965,4
2.97,4
2.975,4
2.98,4
2.985,4
2.99,4
2.995,4
3,4
