time_s,active_sources_mask
0,12
0.005,12
0.01,12
0.015,12
0.02,12
0.025,12
0.03,12
0.035,12
0.04,12
0.045,12
0.05,12
0.055,12
0.06,12
0.065,12
0.07,12
0.075,12
0.08,12
0.085,12
0.09,12
0.095,12
0.1,12
0.105,12
0.11,12
0.115,12
0.12,12
0.125,12
0.13,12
0.135,12
0.14,12
0.145,12
0.15,12
0.155,12
0.16,12
0.165,12
0.17,12
0.175,12
0.18,12
0.185,12
0.19,12
0.195,12
0.2,12
0.205,12
0.21,12
0.215,12
0.22,12
0.225,12
0.23,12
0.235,12
0.24,12
0.245,12
0.25,12
0.255,12
0.26,12
0.265,12
0.27,12
0.275,12
0.28,12
0.285,12
0.29,12
0.295,12
0.3,12
0.305,12
0.31,12
0.315,12
0.32,12
0.325,12
0.33,12
0.335,12
0.34,12
0.345,12
0.35,12
0.355,12
0.36,12
0.365,12
0.37,12
0.375,12
0.38,12
0.385,12
0.39,12
0.395,12
0.4,12
0.405,12
0.41,12
0.415,12
0.42,12
0.425,12
0.43,12
0.435,12
0.44,12
0.445,12
0.45,12
0.455,12
0.46,12
0.465,12
0.47,12
0.475,12
0.48,12
0.485,12
0.49,12
0.495,12
0.5,12
0.505,12
0.51,12
0.515,12
0.52,12
0.525,12
0.53,12
0.535,12
0.54,12
0.545,12
0.55,12
0.555,12
0.56,12
0.565,12
0.57,12
0.575,12
0.58,12
0.585,12
0.59,12
0.595,12
0.6,12
0.605,12
0.61,12
0.615,12
0.62,12
0.625,12
0.63,12
0.635,12
0.64,12
0.645,12
0.65,12
0.655,12
0.66,12
0.665,12
0.67,12
0.675,12
0.68,12
0.685,12
0.69,12
0.695,12
0.7,12
0.705,12
0.71,12
0.715,12
0.72,12
0.725,12
0.73,12
0.735,12
0.74,12
0.745,12
0.75,12
0.755,12
0.76,12
0.765,12
0.77,12
0.775,12
0.78,12
0.785,12
0.79,12
0.795,12
0.8,12
0.805,12
0.81,12
0.815,12
0.82,12
0.825,12
0.83,12
0.835,12
0.84,12
0.845,12
0.85,12
0.855,12
0.86,12
0.865,12
0.87,12
0.875,12
0.88,12
0.885,12
0.89,12
0.895,12
0.9,12
0.905,12
0.91,12
0.915,12
0.92,12
0.925,12
0.93,12
0.935,12
0.94,12
0.945,12
0.95,12
0.955,12
0.96,12
0.965,12
0.97,12
0.975,12
0.98,12
0.985,12
0.99,12
0.995,12
1,12
1.005,12
1.01,12
1.015,12
1.02,12
1.025,12
1.03,12
1.035,12
1.04,12
1.045,12
1.05,12
1.055,12
1.06,12
1.065,12
1.07,12
1.075,12
1.08,12
1.085,12
1.09,12
1.095,12
1.1,12
1.105,12
1.11,12
1.115,12
1.12,12
1.125,12
1.13,12
1.135,12
1.14,12
1.145,12
1.15,12
1.155,12
1.16,12
1.165,12
1.17,12
1.175,12
1.18,12
1.185,12
1.19,12
1.195,12
1.2,12
1.205,12
1.21,12
1.215,12
1.22,12
1.225,12
1.23,12
1.235,12
1.24,12
1.245,12
1.25,12
1.255,12
1.26,12
1.265,12
1.27,12
1.275,12
1.28,12
1.285,12
1.29,12
1.295,12
1.3,12
1.305,12
1.31,12
1.315,12
1.32,12
1.325,12
1.33,12
1.335,12
1.34,12
1.345,12
1.35,12
1.355,12
1.36,12
1.365,12
1.37,12
1.375,12
1.38,12
1.385,12
1.39,12
1.395,12
1.4,12
1.405,12
1.41,12
1.415,12
1.42,12
1.425,12
1.43,12
1.435,12
1.44,12
1.445,12
1.45,12
1.455,12
1.46,12
1.465,12
1.47,12
1.475,12
1.48,12
1.485,12
1.49,12
1.495,12
1.5,12
1.505,12
1.51,12
1.515,12
1.52,12
1.525,12
1.53,12
1.535,12
1.54,12
1.545,12
1.55,12
1.555,12
1.56,12
1.565,12
1.57,12
1.575,12
1.58,12
1.585,12
1.59,12
1.595,12
1.6,12
1.605,12
1.61,12
1.615,12
1.62,12
1.625,12
1.63,12
1.635,12
1.64,12
1.645,12
1.65,12
1.655,12
1.66,12
1.665,12
1.67,12
1.675,12
1.68,12
1.685,12
1.69,12
1.695,12
1.7,12
1.705,12
1.71,12
1.715,12
1.72,12
1.725,12
1.73,12
1.735,12
1.74,12
1.745,12
1.75,12
1.755,12
1.76,12
1.765,12
1.77,12
1.775,12
1.78,12
1.785,12
1.79,12
1.795,12
1.8,12
1.805,12
1.81,12
1.815,12
1.82,12
1.825,12
1.83,12
1.835,12
1.84,12
1.845,12
1.85,12
1.855,12
1.86,12
1.865,12
1.87,12
1.875,12
1.88,12
1.885,12
1.89,12
1.895,12
1.9,12
1.905,12
1.91,12
1.915,12
1.92,12
1.925,12
1.93,12
1.935,12
1.94,12
1.945,12
1.95,12
1.955,12
1.96,12
1.965,12
1.97,12
1.975,12
1.98,12
1.985,12
1.99,12
1.995,12
2,12
2.005,12
2.01,12
2.015,12
2.02,12
2.025,12
2.03,12
2.035,12
2.04,12
2.045,12
2.05,12
2.055,12
2.06,12
2.065,12
2.07,12
2.075,12
2.08,12
2.085,12
2.09,12
2.095,12
2.1,12
2.105,12
2.11,12
2.115,12
2.12,12
2.125,12
2.13,12
2.135,12
2.14,12
2.145,12
2.15,12
2.155,12
2.16,12
2.165,12
2.17,12
2.175,12
2.18,12
2.185,12
2.19,12
2.195,12
2.2,12
2.205,12
2.21,12
2.215,12
2.22,12
2.225,12
2.23,12
2.235,12
2.24,12
2.245,12
2.25,12
2.255,12
2.26,12
2.265,12
2.27,12
2.275,12
2.28,12
2.285,12
2.29,12
2.295,12
2.3,12
2.305,12
