time_s,src2_move_en
0,10
0.005,10
0.01,10
0.015,10
0.02,10
0.025,10
0.03,10
0.035,10
0.04,10
0.045,10
0.05,10
0.055,10
0.06,10
0.065,10
0.07,10
0.075,10
0.08,10
0.085,10
0.09,10
0.095,10
0.1,10
0.105,10
0.11,10
0.115,10
0.12,10
0.125,10
0.13,10
0.135,10
0.14,10
0.145,10
0.15,10
0.155,10
0.16,10
0.165,10
0.17,10
0.175,10
0.18,10
0.185,10
0.19,10
0.195,10
0.2,10
0.205,10
0.21,10
0.215,10
0.22,10
0.225,10
0.23,10
0.235,10
0.24,10
0.245,10
0.25,10
0.255,10
0.26,10
0.265,10
0.27,10
0.275,10
0.28,10
0.285,10
0.29,10
0.295,10
0.3,10
0.305,10
0.31,10
0.315,10
0.32,10
0.325,10
0.33,10
0.335,10
0.34,10
0.345,10
0.35,10
0.355,10
0.36,10
0.365,10
0.37,10
0.375,10
0.38,10
0.385,10
0.39,10
0.395,10
0.4,10
0.405,10
0.41,10
0.415,10
0.42,10
0.425,10
0.43,10
0.435,10
0.44,10
0.445,10
0.45,10
0.455,10
0.46,10
0.465,10
0.47,10
0.475,10
0.48,10
0.485,10
0.49,10
0.495,10
0.5,10
0.505,10
0.51,10
0.515,10
0.52,10
0.525,10
0.53,10
0.535,10
0.54,10
0.545,10
0.55,10
0.555,10
0.56,10
0.565,10
0.57,10
0.575,10
0.58,10
0.585,10
0.59,10
0.595,10
0.6,10
0.605,10
0.61,10
0.615,10
0.62,10
0.625,10
0.63,10
0.635,10
0.64,10
0.645,10
0.65,10
0.655,10
0.66,10
0.665,10
0.67,10
0.675,10
0.68,10
0.685,10
0.69,10
0.695,10
0.7,10
0.705,10
0.71,10
0.715,10
0.72,10
0.725,10
0.73,10
0.735,10
0.74,10
0.745,10
0.75,10
0.755,10
0.76,10
0.765,10
0.77,10
0.775,10
0.78,10
0.785,10
0.79,10
0.795,10
0.8,10
0.805,10
0.81,10
0.815,10
0.82,10
0.825,10
0.83,10
0.835,10
0.84,10
0.845,10
0.85,10
0.855,10
0.86,10
0.865,10
0.87,10
0.875,10
0.88,10
0.885,10
0.89,10
0.895,10
0.9,10
0.905,10
0.91,10
0.915,10
0.92,10
0.925,10
0.93,10
0.935,10
0.94,10
0.945,10
0.95,10
0.955,10
0.96,10
0.965,10
0.97,10
0.975,10
0.98,10
0.985,10
0.99,10
0.995,10
1,10
1.005,10
1.01,10
1.015,10
1.02,10
1.025,10
1.03,10
1.035,10
1.04,10
1.045,10
1.05,10
1.055,10
1.06,10
1.065,10
1.07,10
1.075,10
1.08,10
1.085,10
1.09,10
1.095,10
1.1,10
1.105,10
1.11,10
1.115,10
1.12,10
1.125,10
1.13,10
1.135,10
1.14,10
1.145,10
1.15,10
1.155,10
1.16,10
1.165,10
1.17,10
1.175,10
1.18,10
1.185,10
1.19,10
1.195,10
1.2,10
1.205,10
1.21,10
1.215,10
1.22,10
1.225,10
1.23,10
1.235,10
1.24,10
1.245,10
1.25,10
1.255,10
1.26,10
1.265,10
1.27,10
1.275,10
1.28,10
1.285,10
1.29,10
1.295,10
1.3,10
1.305,10
1.31,10
1.315,10
1.32,10
1.325,10
1.33,10
1.335,10
1.34,10
1.345,10
1.35,10
1.355,10
1.36,10
1.365,10
1.37,10
1.375,10
1.38,10
1.385,10
1.39,10
1.395,10
1.4,10
1.405,10
1.41,10
1.415,10
1.42,10
1.425,10
1.43,10
1.435,10
1.44,10
1.445,10
1.45,10
1.455,10
1.46,10
1.465,10
1.47,10
1.475,10
1.48,10
1.485,10
1.49,10
1.495,10
1.5,10
1.505,10
1.51,10
1.515,10
1.52,10
1.525,10
1.53,10
1.535,10
1.54,10
1.545,10
1.55,10
1.555,10
1.56,10
1.565,10
1.57,10
1.575,10
1.58,10
1.585,10
1.59,10
1.595,10
1.6,10
1.605,10
1.61,10
1.615,10
1.62,10
1.625,10
1.63,10
1.635,10
1.64,10
1.645,10
1.65,10
1.655,10
1.66,10
1.665,10
1.67,10
1.675,10
1.68,10
1.685,10
1.69,10
1.695,10
1.7,10
1.705,10
1.71,10
1.715,10
1.72,10
1.725,10
1.73,10
1.735,10
1.74,10
1.745,10
1.75,10
1.755,10
1.76,10
1.765,10
1.77,10
1.775,10
1.78,10
1.785,10
1.79,10
1.795,10
1.8,10
1.805,10
1.81,10
1.815,10
1.82,10
1.825,10
1.83,10
1.835,10
1.84,10
1.845,10
1.85,10
1.855,10
1.86,10
1.865,10
1.87,10
1.875,10
1.88,10
1.885,10
1.89,10
1.895,10
1.9,10
1.905,10
1.91,10
1.915,10
1.92,10
1.925,10
1.93,10
1.935,10
1.94,10
1.945,10
1.95,10
1.955,10
1.96,10
1.965,10
1.97,10
1.975,10
1.98,10
1.985,10
1.99,10
1.995,10
2,10
2.005,10
2.01,10
2.015,10
2.02,10
2.025,10
2.03,10
2.035,10
2.04,10
2.045,10
2.05,10
2.055,10
2.06,10
2.065,10
2.07,10
2.075,10
2.08,10
2.085,10
2.09,10
2.095,10
2.1,10
2.105,10
2.11,10
2.115,10
2.12,10
2.125,10
2.13,10
2.135,10
2.14,10
2.145,10
2.15,10
2.155,10
2.16,10
2.165,10
2.17,10
2.175,10
2.18,10
2.185,10
2.19,10
2.195,10
2.2,10
2.205,10
2.21,10
2.215,10
2.22,10
2.225,10
2.23,10
2.235,10
2.24,10
2.245,10
2.25,10
2.255,10
2.26,10
2.265,10
2.27,10
2.275,10
2.28,10
2.285,10
2.29,10
2.295,10
2.3,10
2.305,10
2.31,10
2.315,10
2.32,10
2.325,10
2.33,10
2.335,10
2.34,10
2.345,10
2.35,10
2.355,10
2.36,10
2.365,10
2.37,10
2.375,10
2.38,10
2.385,10
2.39,10
2.395,10
2.4,10
2.405,10
2.41,10
2.415,10
2.42,10
2.425,10
2.43,10
2.435,10
2.44,10
2.445,10
2.45,10
2.455,10
2.46,10
2.465,10
2.47,10
2.475,10
2.48,10
2.485,10
2.49,10
2.495,10
2.5,10
2.505,10
2.51,10
2.515,10
2.52,10
2.525,10
2.53,10
2.535,10
2.54,10
2.545,10
2.55,10
2.555,10
2.56,10
2.565,10
2.57,10
2.575,10
2.58,10
2.585,10
2.59,10
2.595,10
2.6,10
2.605,10
2.61,10
2.615,10
2.62,10
2.625,10
2.63,10
2.635,10
2.64,10
2.645,10
2.65,10
2.655,10
2.66,10
2.665,10
2.67,10
2.675,10
2.68,10
2.685,10
2.69,10
2.695,10
2.7,10
2.705,10
2.71,10
2.715,10
2.72,10
2.725,10
2.73,10
2.735,10
2.74,10
2.745,10
2.75,10
2.755,10
2.76,10
2.765,10
2.77,10
2.775,10
2.78,10
2.785,10
2.79,10
2.795,10
2.8,10
2.805,10
2.81,10
2.815,10
2.82,10
2.825,10
2.83,10
2.835,10
2.84,10
2.845,10
2.85,10
2.855,10
2.86,10
2.865,10
2.87,10
2.875,10
2.88,10
2.885,10
2.89,10
2.895,10
2.9,10
2.905,10
2.91,10
2.915,10
2.92,10
2.925,10
2.93,10
2.935,10
2.94,10
2.945,10
2.95,10
2.955,10
2.96,10
2.965,10
2.97,10
2.975,10
2.98,10
2.985,10
2.99,10
2.995,10
3,10
3.005,10
3.01,10
3.015,10
3.02,10
3.025,10
3.03,10
3.035,10
3.04,10
3.045,10
3.05,10
3.055,10
3.06,10
3.065,10
3.07,10
3.075,10
3.08,10
3.085,10
3.09,10
3.095,10
3.1,10
3.105,10
3.11,10
3.115,10
3.12,10
3.125,10
3.13,10
3.135,10
3.14,10
3.145,10
3.15,10
3.155,10
3.16,10
3.165,10
3.17,10
3.175,10
3.18,10
3.185,10
3.19,10
3.195,10
3.2,10
3.205,10
3.21,10
3.215,10
3.22,10
3.225,10
3.23,10
3.235,10
3.24,10
3.245,10
3.25,10
3.255,10
3.26,10
3.265,10
3.27,10
3.275,10
3.28,10
3.285,10
3.29,10
3.295,10
3.3,10
3.305,10
3.31,10
3.315,10
3.32,10
3.325,10
3.33,10
3.335,10
3.34,10
3.345,10
3.35,10
3.355,10
3.36,10
3.365,10
3.37,10
3.375,10
3.38,10
3.385,10
3.39,10
3.395,10
3.4,10
3.405,10
